"field_id","category","name_es","description","data_type","unit","allowed_values","min_value","max_value","precision","requirement_class","required_from_stage","conditional_expression","prohibited_default","expected_source_document","extraction_hints","used_by_calculation_ids","used_by_drawing_ids","blocking_if_missing","review_role","source_ids"
"PVF-001","bathymetry","water_body_type","Tipo de cuerpo de agua donde se instalara el arreglo flotante","enum","-","reservoir|lake|pond|irrigation_reservoir|quarry_pit|hydropower_dam|coastal_lagoon|industrial_pond","","","","PROHIBITED_TO_ASSUME","FEASIBILITY","","true","Environmental impact study / bathymetric report","Reservoir name; bathymetric survey","PVF-CAL-004;PVF-CAL-018;PVF-CAL-022","PVF-DRW-001;PVF-DRW-002","true","PROJECT_MANAGER","ICOLD_Bull_60;ICOLD_Bull_120;IRENA_OFFSHORE_2023"
"PVF-002","bathymetry","bathymetry_min_depth_m","Profundidad minima del cuerpo de agua medida en el area del arreglo flotante","float","m","","0.5","200","0.01","PROHIBITED_TO_ASSUME","FEASIBILITY","","true","Bathymetric survey ISO 14685","Bathymetric contour map 0.5 m interval","PVF-CAL-004;PVF-CAL-016;PVF-CAL-022","PVF-DRW-001;PVF-DRW-002","true","CIVIL_ENGINEER","ISO_14685;ICOLD_Bull_60"
"PVF-003","bathymetry","bathymetry_max_depth_m","Profundidad maxima del cuerpo de agua medida en el area del arreglo flotante","float","m","","1.0","300","0.01","SITE_MANDATORY","FEASIBILITY","","false","Bathymetric survey ISO 14685","Bathymetric contour map","PVF-CAL-016;PVF-CAL-022","PVF-DRW-001;PVF-DRW-002","true","CIVIL_ENGINEER","ISO_14685;ICOLD_Bull_60"
"PVF-004","bathymetry","bathymetry_slope_pct","Pendiente promedio del fondo del cuerpo de agua en el area del arreglo (porcentaje)","float","%","","0","30","0.1","SITE_MANDATORY","FEASIBILITY","","false","Bathymetric survey","Computed from bathymetric grid","PVF-CAL-002;PVF-CAL-022","PVF-DRW-001;PVF-DRW-002","false","CIVIL_ENGINEER","ISO_14685;ICOLD_Bull_60"
"PVF-005","bathymetry","sediment_type","Tipo de sedimento predominante en el fondo del cuerpo de agua","enum","-","rock|gravel|sand|silt|clay|organic_mud|peat","","","","PROHIBITED_TO_ASSUME","FEASIBILITY","","true","Geotechnical seabed report","Grab sample logs; sub-bottom profile","PVF-CAL-016;PVF-CAL-019","PVF-DRW-001;PVF-DRW-005","true","GEOTECHNICAL_ENGINEER","ISO_14685;DNV_OS_E301"
"PVF-006","bathymetry","sediment_thickness_m","Espesor del sedimento blando sobre el substrato rocoso","float","m","","0","10","0.05","DESIGN_MANDATORY","FEASIBILITY","","false","Sub-bottom seismic profile","Continuous seismic reflection profile","PVF-CAL-016;PVF-CAL-019","PVF-DRW-001;PVF-DRW-005","false","GEOTECHNICAL_ENGINEER","ISO_14685;DNV_OS_E301"
"PVF-007","water_body","water_body_surface_area_m2","Superficie total del cuerpo de agua","float","m2","","1000","100000000","1","SITE_MANDATORY","FEASIBILITY","","false","Topographic map / satellite image","GIS polygon area","PVF-CAL-022;PVF-CAL-026","PVF-DRW-002","false","CIVIL_ENGINEER","ISO_19111;ICOLD_Bull_60"
"PVF-008","water_body","water_body_volume_m3","Volumen almacenado en el cuerpo de agua a nivel normal","float","m3","","1000","1000000000","1","SITE_MANDATORY","FEASIBILITY","","false","Bathymetric stage-volume curve","Reservoir capacity curve ICOLD","PVF-CAL-022;PVF-CAL-026","PVF-DRW-002","false","HYDROLOGIST","ICOLD_Bull_60;ICOLD_Bull_120"
"PVF-009","water_body","shoreline_length_m","Longitud del contorno del cuerpo de agua a nivel normal","float","m","","10","100000","1","SITE_MANDATORY","FEASIBILITY","","false","GIS polygon perimeter","Shoreline vector length","PVF-CAL-022","PVF-DRW-001;PVF-DRW-002","false","CIVIL_ENGINEER","ISO_19111"
"PVF-010","water_body","reservoir_purpose","Uso principal del embalse","enum","-","hydropower|irrigation|drinking_water|industrial|flood_control|aquaculture|recreation|cooling_pond|tailings","","","","SITE_MANDATORY","FEASIBILITY","","false","Concession title / reservoir operation plan","Operator declared purpose","PVF-CAL-019;PVF-CAL-026","PVF-DRW-001;PVF-DRW-002","true","PROJECT_MANAGER","ICOLD_Bull_120;MINAM_DS_019_2009"
