drawing_id,technology,discipline,title_es,purpose,applicability_expression,minimum_project_stage,required_field_ids,required_calculation_ids,required_geometry_rule_ids,required_views,required_tables,required_symbol_ids,preferred_sheet_formats,preferred_scales,required_layers,mandatory_annotations,cross_references,qa_rule_ids,release_blockers,source_ids
PVR-DRW-001,PV_ROOF_CARPORT,GEN,Plano de ubicación,Localización del proyecto,always,PRE_FEASIBILITY,PVR-001;PVR-002;PVR-003,PVR-C-001;PVR-C-002;PVR-C-003,PVR-G-001,PLAN,DRAWING_INFO,SYM-COM-AS-BUILT-STAMP;SYM-COM-LEGEND;SYM-COM-LPS,A1,1:200,GEN-ALL-BORDER;GEN-ALL-NORTH-ARROW;GEN-ALL-SCALE-BAR;GEN-ALL-LEGEND,"Title, scale, north arrow, legend",-,PVR-QA-001,AFC stamp required,ISO_19111;RNE_DS_011_2006
PVR-DRW-002,PV_ROOF_CARPORT,GEN,Plano de implantación,Distribución general,always,BASIC_ENGINEERING,PVR-001;PVR-002;PVR-003,PVR-C-001;PVR-C-002;PVR-C-003,PVR-G-001,PLAN,DRAWING_INFO,SYM-COM-AS-BUILT-STAMP;SYM-COM-LEGEND;SYM-COM-LPS,A1,1:200,GEN-ALL-BORDER;GEN-ALL-NORTH-ARROW;GEN-ALL-SCALE-BAR;GEN-ALL-LEGEND,"Title, scale, north arrow, legend",-,PVR-QA-001,AFC stamp required,ISO_19111;RNE_DS_011_2006
PVR-DRW-003,PV_ROOF_CARPORT,GEN,Plano de replanteo,Replanteo de equipos,always,BASIC_ENGINEERING,PVR-001;PVR-002;PVR-003,PVR-C-001;PVR-C-002;PVR-C-003,PVR-G-001,PLAN,DRAWING_INFO,SYM-COM-AS-BUILT-STAMP;SYM-COM-LEGEND;SYM-COM-LPS,A1,1:200,GEN-ALL-BORDER;GEN-ALL-NORTH-ARROW;GEN-ALL-SCALE-BAR;GEN-ALL-LEGEND,"Title, scale, north arrow, legend",-,PVR-QA-001,AFC stamp required,ISO_19111;RNE_DS_011_2006
PVR-DRW-004,PV_ROOF_CARPORT,GEN,Plano de strings/arreglo,Layout del arreglo,always,BASIC_ENGINEERING,PVR-001;PVR-002;PVR-003,PVR-C-001;PVR-C-002;PVR-C-003,PVR-G-001,PLAN,DRAWING_INFO,SYM-COM-AS-BUILT-STAMP;SYM-COM-LEGEND;SYM-COM-LPS,A1,1:200,GEN-ALL-BORDER;GEN-ALL-NORTH-ARROW;GEN-ALL-SCALE-BAR;GEN-ALL-LEGEND,"Title, scale, north arrow, legend",-,PVR-QA-001,AFC stamp required,ISO_19111;RNE_DS_011_2006
PVR-DRW-005,PV_ROOF_CARPORT,GEN,Plano de cableado DC,Colección DC,always,DETAILED_ENGINEERING,PVR-001;PVR-002;PVR-003,PVR-C-001;PVR-C-002;PVR-C-003,PVR-G-001,PLAN,DRAWING_INFO,SYM-COM-AS-BUILT-STAMP;SYM-COM-LEGEND;SYM-COM-LPS,A1,1:200,GEN-ALL-BORDER;GEN-ALL-NORTH-ARROW;GEN-ALL-SCALE-BAR;GEN-ALL-LEGEND,"Title, scale, north arrow, legend",-,PVR-QA-001,AFC stamp required,ISO_19111;RNE_DS_011_2006
PVR-DRW-006,PV_ROOF_CARPORT,GEN,Plano de cableado AC,Colección AC,always,DETAILED_ENGINEERING,PVR-001;PVR-002;PVR-003,PVR-C-001;PVR-C-002;PVR-C-003,PVR-G-001,PLAN,DRAWING_INFO,SYM-COM-AS-BUILT-STAMP;SYM-COM-LEGEND;SYM-COM-LPS,A1,1:200,GEN-ALL-BORDER;GEN-ALL-NORTH-ARROW;GEN-ALL-SCALE-BAR;GEN-ALL-LEGEND,"Title, scale, north arrow, legend",-,PVR-QA-001,AFC stamp required,ISO_19111;RNE_DS_011_2006
PVR-DRW-007,PV_ROOF_CARPORT,GEN,Diagrama unifilar SLD,Diagrama unifilar,always,DETAILED_ENGINEERING,PVR-001;PVR-002;PVR-003,PVR-C-001;PVR-C-002;PVR-C-003,PVR-G-001,PLAN,DRAWING_INFO,SYM-COM-AS-BUILT-STAMP;SYM-COM-LEGEND;SYM-COM-LPS,A1,1:200,GEN-ALL-BORDER;GEN-ALL-NORTH-ARROW;GEN-ALL-SCALE-BAR;GEN-ALL-LEGEND,"Title, scale, north arrow, legend",-,PVR-QA-001,AFC stamp required,ISO_19111;RNE_DS_011_2006
PVR-DRW-008,PV_ROOF_CARPORT,GEN,Detalle de cimentaciones,Cimentaciones,always,DETAILED_ENGINEERING,PVR-001;PVR-002;PVR-003,PVR-C-001;PVR-C-002;PVR-C-003,PVR-G-001,PLAN,DRAWING_INFO,SYM-COM-AS-BUILT-STAMP;SYM-COM-LEGEND;SYM-COM-LPS,A1,1:200,GEN-ALL-BORDER;GEN-ALL-NORTH-ARROW;GEN-ALL-SCALE-BAR;GEN-ALL-LEGEND,"Title, scale, north arrow, legend",-,PVR-QA-001,AFC stamp required,ISO_19111;RNE_DS_011_2006
PVR-DRW-009,PV_ROOF_CARPORT,GEN,Detalle de estructuras,Estructuras de soporte,always,DETAILED_ENGINEERING,PVR-001;PVR-002;PVR-003,PVR-C-001;PVR-C-002;PVR-C-003,PVR-G-001,PLAN,DRAWING_INFO,SYM-COM-AS-BUILT-STAMP;SYM-COM-LEGEND;SYM-COM-LPS,A1,1:200,GEN-ALL-BORDER;GEN-ALL-NORTH-ARROW;GEN-ALL-SCALE-BAR;GEN-ALL-LEGEND,"Title, scale, north arrow, legend",-,PVR-QA-001,AFC stamp required,ISO_19111;RNE_DS_011_2006
PVR-DRW-010,PV_ROOF_CARPORT,GEN,Sección transversal,Sección del módulo/array,always,DETAILED_ENGINEERING,PVR-001;PVR-002;PVR-003,PVR-C-001;PVR-C-002;PVR-C-003,PVR-G-001,PLAN,DRAWING_INFO,SYM-COM-AS-BUILT-STAMP;SYM-COM-LEGEND;SYM-COM-LPS,A1,1:200,GEN-ALL-BORDER;GEN-ALL-NORTH-ARROW;GEN-ALL-SCALE-BAR;GEN-ALL-LEGEND,"Title, scale, north arrow, legend",-,PVR-QA-001,AFC stamp required,ISO_19111;RNE_DS_011_2006
