field_id,language,synonyms,abbreviations,expected_units,document_types,section_names,table_header_patterns,regex_candidates,positive_context,negative_context,normalization_rule,plausibility_rule,requires_ocr,requires_vision,requires_llm,human_review_condition
PVF-001,es;en,water body type,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,water_body_type,,water_body_type;Reservoir name; bathymetric survey,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
PVF-002,es;en,bathymetry min depth m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,bathymetry_min_depth_m,regex:([0-9]+\.?[0-9]*)\s*m,bathymetry_min_depth_m;Bathymetric contour map 0.5 m interval,not applicable;assumed;estimated,value in valid range,value between 0.5 and 200,false,false,false,review if outlier
PVF-003,es;en,bathymetry max depth m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,bathymetry_max_depth_m,regex:([0-9]+\.?[0-9]*)\s*m,bathymetry_max_depth_m;Bathymetric contour map,not applicable;assumed;estimated,value in valid range,value between 1.0 and 300,false,false,false,review if outlier
PVF-004,es;en,bathymetry slope pct,,%,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,bathymetry_slope_pct,regex:([0-9]+\.?[0-9]*)\s*%,bathymetry_slope_pct;Computed from bathymetric grid,not applicable;assumed;estimated,value in valid range,value between 0 and 30,false,false,false,review if outlier
PVF-005,es;en,sediment type,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,sediment_type,,sediment_type;Grab sample logs; sub-bottom profile,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
PVF-006,es;en,sediment thickness m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,sediment_thickness_m,regex:([0-9]+\.?[0-9]*)\s*m,sediment_thickness_m;Continuous seismic reflection profile,not applicable;assumed;estimated,value in valid range,value between 0 and 10,false,false,false,review if outlier
PVF-007,es;en,water body surface area m2,,m2,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,water_body_surface_area_m2,regex:([0-9]+\.?[0-9]*)\s*m2,water_body_surface_area_m2;GIS polygon area,not applicable;assumed;estimated,value in valid range,value between 1000 and 100000000,false,false,false,review if outlier
PVF-008,es;en,water body volume m3,,m3,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,water_body_volume_m3,regex:([0-9]+\.?[0-9]*)\s*m3,water_body_volume_m3;Reservoir capacity curve ICOLD,not applicable;assumed;estimated,value in valid range,value between 1000 and 1000000000,false,false,false,review if outlier
PVF-009,es;en,shoreline length m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,shoreline_length_m,regex:([0-9]+\.?[0-9]*)\s*m,shoreline_length_m;Shoreline vector length,not applicable;assumed;estimated,value in valid range,value between 10 and 100000,false,false,false,review if outlier
PVF-010,es;en,reservoir purpose,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,reservoir_purpose,,reservoir_purpose;Operator declared purpose,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
