field_id,language,synonyms,abbreviations,expected_units,document_types,section_names,table_header_patterns,regex_candidates,positive_context,negative_context,normalization_rule,plausibility_rule,requires_ocr,requires_vision,requires_llm,human_review_condition
CSP-001,es,ubicacion|sitio|localizacion,LAT|LON|ALT,deg,topographic_survey|site_report,site_location|coordinates,LAT;LON;ALT,lat\s*=\s*([-+]?\d+\.\d+)|lon\s*=\s*([-+]?\d+\.\d+)|elev\s*=\s*(\d+\.?\d*),site location|GPS|WGS84,north|south|east|west (no number),keep 6 decimals,in valid range,False,False,True,if outside range
CSP-002,es,ubicacion|sitio|localizacion,LAT|LON|ALT,deg,topographic_survey|site_report,site_location|coordinates,LAT;LON;ALT,lat\s*=\s*([-+]?\d+\.\d+)|lon\s*=\s*([-+]?\d+\.\d+)|elev\s*=\s*(\d+\.?\d*),site location|GPS|WGS84,north|south|east|west (no number),keep 6 decimals,in valid range,False,False,True,if outside range
CSP-003,es,ubicacion|sitio|localizacion,LAT|LON|ALT,m,topographic_survey|site_report,site_location|coordinates,LAT;LON;ALT,lat\s*=\s*([-+]?\d+\.\d+)|lon\s*=\s*([-+]?\d+\.\d+)|elev\s*=\s*(\d+\.?\d*),site location|GPS|WGS84,north|south|east|west (no number),keep 6 decimals,in valid range,False,False,True,if outside range
CSP-004,es,ubicacion|sitio|localizacion,LAT|LON|ALT,h,topographic_survey|site_report,site_location|coordinates,LAT;LON;ALT,lat\s*=\s*([-+]?\d+\.\d+)|lon\s*=\s*([-+]?\d+\.\d+)|elev\s*=\s*(\d+\.?\d*),site location|GPS|WGS84,north|south|east|west (no number),keep 6 decimals,in valid range,False,False,True,if outside range
CSP-005,es,ubicacion|sitio|localizacion,LAT|LON|ALT,m2,topographic_survey|site_report,site_location|coordinates,LAT;LON;ALT,lat\s*=\s*([-+]?\d+\.\d+)|lon\s*=\s*([-+]?\d+\.\d+)|elev\s*=\s*(\d+\.?\d*),site location|GPS|WGS84,north|south|east|west (no number),keep 6 decimals,in valid range,False,False,True,if outside range
CSP-006,es,dni|recurso_solar|irradiancia,DNI|GHI|DHI|TMY,kWh/m2/yr,solar_resource_report|tmy_file,solar_resource|dni_data,DNI;GHI;DHI;TMY,DNI\s*=\s*(\d+\.?\d*)|GHI\s*=\s*(\d+\.?\d*)|TMY\s*=\s*(\w+),dni|direct normal|solar resource,dhi diffuse only,convert to kWh/m2/yr,in CSP range 1000-3000,False,False,True,if DNI < 1800 kWh/m2/yr
CSP-007,es,dni|recurso_solar|irradiancia,DNI|GHI|DHI|TMY,kWh/m2/day,solar_resource_report|tmy_file,solar_resource|dni_data,DNI;GHI;DHI;TMY,DNI\s*=\s*(\d+\.?\d*)|GHI\s*=\s*(\d+\.?\d*)|TMY\s*=\s*(\w+),dni|direct normal|solar resource,dhi diffuse only,convert to kWh/m2/yr,in CSP range 1000-3000,False,False,True,if DNI < 1800 kWh/m2/yr
CSP-008,es,dni|recurso_solar|irradiancia,DNI|GHI|DHI|TMY,-,solar_resource_report|tmy_file,solar_resource|dni_data,DNI;GHI;DHI;TMY,DNI\s*=\s*(\d+\.?\d*)|GHI\s*=\s*(\d+\.?\d*)|TMY\s*=\s*(\w+),dni|direct normal|solar resource,dhi diffuse only,convert to kWh/m2/yr,in CSP range 1000-3000,False,False,True,if DNI < 1800 kWh/m2/yr
CSP-009,es,dni|recurso_solar|irradiancia,DNI|GHI|DHI|TMY,kWh/m2/yr,solar_resource_report|tmy_file,solar_resource|dni_data,DNI;GHI;DHI;TMY,DNI\s*=\s*(\d+\.?\d*)|GHI\s*=\s*(\d+\.?\d*)|TMY\s*=\s*(\w+),dni|direct normal|solar resource,dhi diffuse only,convert to kWh/m2/yr,in CSP range 1000-3000,False,False,True,if DNI < 1800 kWh/m2/yr
CSP-010,es,dni|recurso_solar|irradiancia,DNI|GHI|DHI|TMY,kWh/m2/yr,solar_resource_report|tmy_file,solar_resource|dni_data,DNI;GHI;DHI;TMY,DNI\s*=\s*(\d+\.?\d*)|GHI\s*=\s*(\d+\.?\d*)|TMY\s*=\s*(\w+),dni|direct normal|solar resource,dhi diffuse only,convert to kWh/m2/yr,in CSP range 1000-3000,False,False,True,if DNI < 1800 kWh/m2/yr
CSP-011,es,dni|recurso_solar|irradiancia,DNI|GHI|DHI|TMY,degC,solar_resource_report|tmy_file,solar_resource|dni_data,DNI;GHI;DHI;TMY,DNI\s*=\s*(\d+\.?\d*)|GHI\s*=\s*(\d+\.?\d*)|TMY\s*=\s*(\w+),dni|direct normal|solar resource,dhi diffuse only,convert to kWh/m2/yr,in CSP range 1000-3000,False,False,True,if DNI < 1800 kWh/m2/yr
CSP-012,es,dni|recurso_solar|irradiancia,DNI|GHI|DHI|TMY,degC,solar_resource_report|tmy_file,solar_resource|dni_data,DNI;GHI;DHI;TMY,DNI\s*=\s*(\d+\.?\d*)|GHI\s*=\s*(\d+\.?\d*)|TMY\s*=\s*(\w+),dni|direct normal|solar resource,dhi diffuse only,convert to kWh/m2/yr,in CSP range 1000-3000,False,False,True,if DNI < 1800 kWh/m2/yr
CSP-013,es,dni|recurso_solar|irradiancia,DNI|GHI|DHI|TMY,m/s,solar_resource_report|tmy_file,solar_resource|dni_data,DNI;GHI;DHI;TMY,DNI\s*=\s*(\d+\.?\d*)|GHI\s*=\s*(\d+\.?\d*)|TMY\s*=\s*(\w+),dni|direct normal|solar resource,dhi diffuse only,convert to kWh/m2/yr,in CSP range 1000-3000,False,False,True,if DNI < 1800 kWh/m2/yr
CSP-014,es,angulo_solar|hour_angle|zenith|azimut,HRA|ZA|AM|DEC,deg,solar_analysis_report,solar_angles|geometry,HRA;ZA;AM;DEC,hour_angle\s*=\s*([-+]?\d+\.?\d*)|zenith\s*=\s*(\d+\.?\d*)|azimut\s*=\s*(\d+\.?\d*),solar angle|hour angle|zenith,thermal angle,convert to degrees,in valid solar range,False,False,True,if out of solar range
CSP-015,es,angulo_solar|hour_angle|zenith|azimut,HRA|ZA|AM|DEC,deg,solar_analysis_report,solar_angles|geometry,HRA;ZA;AM;DEC,hour_angle\s*=\s*([-+]?\d+\.?\d*)|zenith\s*=\s*(\d+\.?\d*)|azimut\s*=\s*(\d+\.?\d*),solar angle|hour angle|zenith,thermal angle,convert to degrees,in valid solar range,False,False,True,if out of solar range
CSP-016,es,angulo_solar|hour_angle|zenith|azimut,HRA|ZA|AM|DEC,deg,solar_analysis_report,solar_angles|geometry,HRA;ZA;AM;DEC,hour_angle\s*=\s*([-+]?\d+\.?\d*)|zenith\s*=\s*(\d+\.?\d*)|azimut\s*=\s*(\d+\.?\d*),solar angle|hour angle|zenith,thermal angle,convert to degrees,in valid solar range,False,False,True,if out of solar range
CSP-017,es,angulo_solar|hour_angle|zenith|azimut,HRA|ZA|AM|DEC,-,solar_analysis_report,solar_angles|geometry,HRA;ZA;AM;DEC,hour_angle\s*=\s*([-+]?\d+\.?\d*)|zenith\s*=\s*(\d+\.?\d*)|azimut\s*=\s*(\d+\.?\d*),solar angle|hour angle|zenith,thermal angle,convert to degrees,in valid solar range,False,False,True,if out of solar range
CSP-018,es,angulo_solar|hour_angle|zenith|azimut,HRA|ZA|AM|DEC,deg,solar_analysis_report,solar_angles|geometry,HRA;ZA;AM;DEC,hour_angle\s*=\s*([-+]?\d+\.?\d*)|zenith\s*=\s*(\d+\.?\d*)|azimut\s*=\s*(\d+\.?\d*),solar angle|hour angle|zenith,thermal angle,convert to degrees,in valid solar range,False,False,True,if out of solar range
