drawing_id,technology,discipline,title_es,purpose,applicability_expression,minimum_project_stage,required_field_ids,required_calculation_ids,required_geometry_rule_ids,required_views,required_tables,required_symbol_ids,preferred_sheet_formats,preferred_scales,required_layers,mandatory_annotations,cross_references,qa_rule_ids,release_blockers,source_ids
PVG-DRW-001,01_pv_ground,CIVIL,Plano de ubicación del proyecto,Localización geográfica del parque y su contexto regional,always,FEASIBILITY,PVG-001;PVG-002;PVG-003;PVG-004;PVG-005;PVG-009;PVG-116;PVG-117;PVG-118,PVG-C-001;PVG-C-023;PVG-C-025,PVG-GR-001;PVG-GR-014,"['SITE_PLAN', 'REGIONAL_CONTEXT', 'NORTH_ARROW', 'COORDINATE_GRID']","['COORDINATE_TABLE', 'AREA_SUMMARY']",SYM-COM-NORTH;SYM-COM-SCALEBAR;SYM-COM-LEGEND,A1,1:5000,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;PVG-CIV-SITEPLAN,LAT_LON;ELEVATION;TOTAL_AREA,DRW-COM-001,PVG-QA-001;PVG-QA-016;PVG-QA-038,"['LAT_LON_FORMAT', 'AREA_CALC']",ISO_5457;ISO_7200;ISO_19111;MINAM_DS_019_2009
PVG-DRW-002,01_pv_ground,CIVIL,Plano de implantación general,Plano general de implantación del parque con coordenadas absolutas,always,BASIC_ENGINEERING,PVG-001;PVG-002;PVG-005;PVG-009;PVG-010;PVG-095;PVG-114,PVG-C-001,PVG-GR-001;PVG-GR-014;PVG-GR-015,"['IMPLANT_PLAN', 'FENCE_PLAN', 'ROAD_PLAN']","['IMPLANT_COORD_TABLE', 'FENCE_LENGTH_TABLE']",SYM-COM-NORTH;SYM-COM-SCALEBAR;SYM-PVG-FENCE;SYM-PVG-ROAD;SYM-PVG-GATE,A0,1:1000,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;PVG-CIV-IMPLANT;PVG-CIV-FENCE;PVG-CIV-ROAD,COORDINATE_TABLE;FENCE_LENGTH;ROAD_WIDTH,PVG-DRW-001;PVG-DRW-003;PVG-DRW-004,PVG-QA-002;PVG-QA-017,['NO_MISSING_DIMENSIONS'],ISO_5457;ISO_7200;ISO_19111
PVG-DRW-003,01_pv_ground,CIVIL,Plano de replanteo,Coordenadas de replanteo para construcción,always,DETAILED_ENGINEERING,PVG-001;PVG-002;PVG-005;PVG-009;PVG-095;PVG-114;PVG-115,PVG-C-001,PVG-GR-001;PVG-GR-008,"['REPLANT_PLAN', 'STAKE_TABLE']",['STAKE_COORD_TABLE'],SYM-COM-NORTH;SYM-COM-SCALEBAR;SYM-PVG-POST;SYM-PVG-FENCE-POST,A1,1:500,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;PVG-CIV-REPLANT,STAKE_COORDS;REFERENCE_BENCHMARK,PVG-DRW-002,PVG-QA-003;PVG-QA-018,['STAKE_ACCURACY_10MM'],ISO_5457;ISO_7200;ANSI_Y14_5
PVG-DRW-004,01_pv_ground,ELECTRICAL,Plano de layout del arreglo PV,"Disposición de mesas, módulos y strings dentro del área del parque",always,BASIC_ENGINEERING,PVG-031;PVG-032;PVG-040;PVG-041;PVG-047;PVG-048;PVG-050;PVG-095;PVG-096;PVG-097;PVG-114;PVG-115,PVG-C-001;PVG-C-017,PVG-GR-001;PVG-GR-002;PVG-GR-006,"['ARRAY_PLAN', 'TABLE_DETAIL', 'STRING_POLYLINE']","['MODULE_COUNT_TABLE', 'STRING_COUNT_TABLE', 'AREA_PER_DC_KW_TABLE']",SYM-COM-NORTH;SYM-PVG-MODULE;SYM-PVG-STRING,A0,1:200,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;PVG-ELEC-ARRAY;PVG-ELEC-STRING,STRING_ID;MODULE_COUNT;DC_KW_PER_AREA,PVG-DRW-002;PVG-DRW-005,PVG-QA-004;PVG-QA-019;PVG-QA-039,['DC_CAPACITY'],IEC_62548;ISO_5457;ISO_7200
PVG-DRW-005,01_pv_ground,ELECTRICAL,Plano de layout de strings,Identificación de strings y su cableado DC,always,DETAILED_ENGINEERING,PVG-032;PVG-035;PVG-036;PVG-047;PVG-048;PVG-049;PVG-050;PVG-056;PVG-064,PVG-C-006;PVG-C-007;PVG-C-008;PVG-C-009,PVG-GR-002;PVG-GR-012,"['STRING_LAYOUT_PLAN', 'STRING_LABEL_DETAIL']","['STRING_VOLTAGE_TABLE', 'STRING_ID_TABLE']",SYM-PVG-STRING;SYM-PVG-COMBINER;SYM-PVG-CABLE-DC,A0,1:100,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;PVG-ELEC-STRING,STRING_ID;STRING_VOLTAGE_DC;STRING_CURRENT;COMBINER_ID,PVG-DRW-004;PVG-DRW-006;PVG-DRW-008,PVG-QA-005;PVG-QA-020,['STRING_VOC_COLD_BELOW_VDCMAX'],IEC_62548;IEC_60364_7_712;ISO_5457
PVG-DRW-006,01_pv_ground,ELECTRICAL,Plano de colección DC,Ruteo de cables DC desde strings hasta inversor,always,DETAILED_ENGINEERING,PVG-049;PVG-051;PVG-064;PVG-065;PVG-069;PVG-082;PVG-123,PVG-C-012;PVG-C-014;PVG-C-026,PVG-GR-004;PVG-GR-012;PVG-GR-016,"['DC_COLLECTION_PLAN', 'TRENCH_SECTION']","['DC_CABLE_TABLE', 'COMBINER_TABLE']",SYM-PVG-COMBINER;SYM-PVG-CABLE-DC;SYM-PVG-SPD-DC,A0,1:200,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;PVG-ELEC-DC-COLLECTION,CABLE_SECTION;CABLE_AMPACITY;V_DROP_DC;COMBINER_ID,PVG-DRW-005;PVG-DRW-013,PVG-QA-006;PVG-QA-021,['AMPACITY_DERATING_25PCT'],IEC_62548;IEC_60364_7_712;NFPA_70_2023
PVG-DRW-007,01_pv_ground,ELECTRICAL,Plano de colección AC,Ruteo de cables AC desde inversor hasta subestación,always,DETAILED_ENGINEERING,PVG-059;PVG-070;PVG-071;PVG-073;PVG-074;PVG-075;PVG-076;PVG-077;PVG-078;PVG-079,PVG-C-013;PVG-C-015;PVG-C-027,PVG-GR-004;PVG-GR-009;PVG-GR-010;PVG-GR-011,"['AC_COLLECTION_PLAN', 'AC_TRENCH_SECTION']","['AC_CABLE_TABLE', 'TRANSFORMER_TABLE']",SYM-PVG-CABLE-AC;SYM-PVG-TRANSFORMER;SYM-PVG-INVERTER,A0,1:200,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;PVG-ELEC-AC-COLLECTION,CABLE_SECTION;CABLE_AMPACITY;V_DROP_AC;TRANSFORMER_ID;VECTOR_GROUP,PVG-DRW-005;PVG-DRW-008;PVG-DRW-013,PVG-QA-007;PVG-QA-022,['AC_AMPACITY_DERATING_25PCT'],IEEE_C2_2023;NFPA_70_2023;IEC_62548
PVG-DRW-008,01_pv_ground,ELECTRICAL,Diagrama unifilar (SLD),Diagrama unifilar general del parque,always,BASIC_ENGINEERING,PVG-023;PVG-024;PVG-025;PVG-026;PVG-028;PVG-029;PVG-030;PVG-053;PVG-054;PVG-055;PVG-059;PVG-073;PVG-074;PVG-077;PVG-078;PVG-079;PVG-080;PVG-081;PVG-082;PVG-083;PVG-084;PVG-085;PVG-086;PVG-087,PVG-C-009;PVG-C-010;PVG-C-013;PVG-C-015,PVG-GR-001,"['SLD_SINGLE_LINE', 'SLD_PROTECTION']","['PROTECTION_TABLE', 'RATING_TABLE']",SYM-PVG-INVERTER;SYM-PVG-TRANSFORMER;SYM-PVG-BREAKER;SYM-PVG-FUSE;SYM-PVG-SPD;SYM-PVG-GROUND,A1,1:1,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;PVG-ELEC-SLD,ALL_VOLTAGES;ALL_CURRENTS;PROTECTION_ANSI_CODES;VECTOR_GROUP,PVG-DRW-007;PVG-DRW-012;PVG-DRW-015,PVG-QA-008;PVG-QA-023;PVG-QA-040,"['COMPLETE_SLD', 'VECTOR_GROUP', 'PROTECTION_SCHEME']",IEC_62548;IEEE_1547_2018;ISO_10628;ISO_14617
PVG-DRW-009,01_pv_ground,CIVIL,Detalle de cimentación,Planos de detalle de cimentaciones,always,DETAILED_ENGINEERING,PVG-007;PVG-008;PVG-105;PVG-106;PVG-107;PVG-108;PVG-109,PVG-C-028;PVG-C-030,PVG-GR-008,"['FOUNDATION_PLAN', 'FOUNDATION_SECTION', 'FOUNDATION_REBAR']","['FOUNDATION_TABLE', 'REBAR_TABLE']",SYM-PVG-H-PILE;SYM-PVG-GROUND-SCREW;SYM-PVG-BALLAST;SYM-PVG-GRADE-BEAM,A2,1:20,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;PVG-CIV-FOUNDATION,FOUNDATION_TYPE;DEPTH;SECTION;CORROSION_PROTECTION;SOIL_CAPACITY,PVG-DRW-010;PVG-DRW-003,PVG-QA-009;PVG-QA-024,['SOIL_CAPACITY_OK'],ASME_B31_1_2022;IEEE_80_2013;ANSI_Y14_5
PVG-DRW-010,01_pv_ground,MECHANICAL,Detalle de estructura de soporte,"Planos de detalle de estructuras (posting, girts, clamps)",always,DETAILED_ENGINEERING,PVG-095;PVG-096;PVG-097;PVG-098;PVG-099;PVG-100;PVG-115;PVG-040;PVG-041;PVG-043,PVG-C-030,PVG-GR-003,"['STRUCTURE_ELEVATION', 'STRUCTURE_PLAN', 'STRUCTURE_DETAIL']","['SECTION_TABLE', 'CLAMP_TABLE']",SYM-PVG-POST;SYM-PVG-GIRT;SYM-PVG-CLAMP;SYM-PVG-MODULE,A2,1:20,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;PVG-MECH-STRUCTURE,TILT_ANGLE;AZIMUTH;POSTING_SECTION;GIRT_SECTION;CLEARANCE_GROUND,PVG-DRW-004;PVG-DRW-009,PVG-QA-010;PVG-QA-025,"['WIND_LOAD_CATEGORY', 'SNOW_LOAD']",IEC_62548;ASME_B31_1_2022;IEC_62938
