drawing_id,technology,discipline,title_es,purpose,applicability_expression,minimum_project_stage,required_field_ids,required_calculation_ids,required_geometry_rule_ids,required_views,required_tables,required_symbol_ids,preferred_sheet_formats,preferred_scales,required_layers,mandatory_annotations,cross_references,qa_rule_ids,release_blockers,source_ids
GEO-DRW-001,09_geothermal,CIVIL,Plano de ubicación del proyecto geotérmico,Localización geográfica del campo geotérmico y la planta,always,FEASIBILITY,GEO-001;GEO-002;GEO-003;GEO-005;GEO-026;GEO-027;GEO-118,GEO-C-004;GEO-C-023,GEO-GR-001;GEO-GR-022,"['SITE_PLAN','REGIONAL_CONTEXT','NORTH_ARROW']","['COORDINATE_TABLE','AREA_SUMMARY']",SYM-COM-NORTH;SYM-COM-SCALEBAR;SYM-COM-LEGEND,A1,1:5000,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;GEO-CIV-SITEPLAN,LAT_LON;ELEVATION;TOTAL_AREA,DRW-COM-001,GEO-QA-001;GEO-QA-002;GEO-QA-040,"['LAT_LON_FORMAT','AREA_CALC']",ISO_5457;ISO_7200;ISO_129_1;ISO_128_20;ISO_5455;ANSI_Y14_5;ISO_13567_1;ISO_19111;MINAM_DS_019_2009;MINEM_DS_032_2003
GEO-DRW-002,09_geothermal,CIVIL,Plano de implantación general de la planta,Planta general con coordenadas absolutas de todos los equipos,always,BASIC_ENGINEERING,GEO-001;GEO-002;GEO-005;GEO-057;GEO-058;GEO-122;GEO-003,GEO-C-004,GEO-GR-003;GEO-GR-004;GEO-GR-008;GEO-GR-009;GEO-GR-010;GEO-GR-011;GEO-GR-012;GEO-GR-013;GEO-GR-014;GEO-GR-020;GEO-GR-021,"['IMPLANT_PLAN','EQUIPMENT_PLAN','FENCE_PLAN']","['IMPLANT_COORD_TABLE','EQUIPMENT_TABLE']",SYM-COM-NORTH;SYM-COM-SCALEBAR;SYM-GEO-FENCE,A0,1:500,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;GEO-CIV-IMPLANT,COORDINATE_TABLE;PLANT_CAPACITY;FENCE_LENGTH,GEO-DRW-001;GEO-DRW-003;GEO-DRW-006,GEO-QA-003;GEO-QA-016;GEO-QA-041,['NO_MISSING_DIMENSIONS'],ISO_5457;ISO_7200;ISO_129_1;ISO_128_20;ISO_5455;ANSI_Y14_5;ISO_13567_1;IAPWS_IF97;ISO_6107_1;ISO_14685
GEO-DRW-003,09_geothermal,CIVIL,Plano de wellpads y pozos,Distribución de pozos productores y reinyectores con vías de acceso,always,BASIC_ENGINEERING,GEO-001;GEO-002;GEO-008;GEO-013;GEO-026;GEO-027;GEO-028;GEO-029;GEO-103;GEO-104;GEO-121;GEO-123,GEO-C-004;GEO-C-030,GEO-GR-001;GEO-GR-007;GEO-GR-022,"['WELL_LAYOUT_PLAN','ACCESS_ROAD_PLAN','WELL_DETAIL']","['WELL_TABLE','ROAD_TABLE']",SYM-COM-NORTH;SYM-GEO-WELL;SYM-GEO-WELLPAD;SYM-GEO-ROAD,A0,1:1000,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;GEO-CIV-WELLS,WELL_ID;WELL_TYPE;CASING_DIAMETER;TRAJECTORY,GEO-DRW-001;GEO-DRW-002,GEO-QA-004;GEO-QA-017,['WELL_DISTANCE_TO_REINJ_500M'],API_1104_2021;ASME_BPVC_VIII_1_2023;ISO_14685;MINEM_DS_032_2003;ISO_19111;ISO_14685;ISO_5457;ISO_7200;ISO_129_1;ISO_128_20;ISO_5455;ANSI_Y14_5;ISO_13567_1
GEO-DRW-004,09_geothermal,PIPING,Plano de gathering system bifásico,Ruteo de tubería bifásica de pozos a separadores en planta,always,DETAILED_ENGINEERING,GEO-036;GEO-037;GEO-038;GEO-039;GEO-026;GEO-099;GEO-100;GEO-101,GEO-C-005;GEO-C-006;GEO-C-023,GEO-GR-002;GEO-GR-007,"['GATHERING_PLAN','TWO_PHASE_PROFILE']","['GATHERING_LENGTH_TABLE','PRESSURE_DROP_TABLE']",SYM-GEO-PIPE;SYM-GEO-VALVE;SYM-GEO-PIG-TRAP,A0,1:500,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;GEO-PIPING-GATHERING,PIPE_DIA;PIPE_MAT;VELOCITY;PRESSURE_DROP,GEO-DRW-002;GEO-DRW-005,GEO-QA-005;GEO-QA-018,['TWO_PHASE_VELOCITY_BELOW_20MPS'],ASME_B31_3_2022;API_1104_2021;ASME_BPVC_VIII_1_2023;ASME_B31_3_2022;ASME_BPVC_VIII_1_2023;ISO_5457;ISO_7200;ISO_129_1;ISO_128_20;ISO_5455;ANSI_Y14_5;ISO_13567_1
GEO-DRW-005,09_geothermal,PIPING,Perfil del gathering system bifásico,Perfil longitudinal del gathering con elevaciones y pendientes,always,DETAILED_ENGINEERING,GEO-003;GEO-036;GEO-037;GEO-038;GEO-054;GEO-055,GEO-C-005;GEO-C-006,GEO-GR-002;GEO-GR-006,"['PROFILE_LONG','PROFILE_CROSS']",['ELEVATION_TABLE'],SYM-GEO-PIPE;SYM-GEO-ELEVATION-MARK,A1,1:200/1:2000,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;GEO-PIPING-PROFILE,PIPE_ELEVATION;SLOPE;AIR_VALVE_LOCATION,GEO-DRW-004,GEO-QA-006,['SLOPE_DRAINAGE'],ASME_B31_3_2022;API_1104_2021;ASME_BPVC_VIII_1_2023;ASME_B31_3_2022;ASME_BPVC_VIII_1_2023;ISO_5457;ISO_7200;ISO_129_1;ISO_128_20;ISO_5455;ANSI_Y14_5;ISO_13567_1
GEO-DRW-006,09_geothermal,MECHANICAL,Plano de separadores bifásicos,Distribución de separadores bifásicos en planta,always,DETAILED_ENGINEERING,GEO-040;GEO-041;GEO-042;GEO-043;GEO-044;GEO-045;GEO-046;GEO-047,GEO-C-007;GEO-C-008;GEO-C-009,GEO-GR-003;GEO-GR-004,"['SEPARATOR_PLAN','SEPARATOR_ELEVATION']",['SEPARATOR_DIMENSIONS_TABLE'],SYM-GEO-SEPARATOR;SYM-GEO-VESSEL;SYM-GEO-NOZZLE,A1,1:50,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;GEO-MECH-SEPARATOR,SEPARATOR_ID;TYPE;DIAMETER;LENGTH;RESIDENCE_TIME,GEO-DRW-002;GEO-DRW-007,GEO-QA-007;GEO-QA-019,['RESIDENCE_TIME_5S'],ASME_BPVC_VIII_1_2023;ASME_B31_3_2022;IAPWS_IF97;ASME_BPVC_VIII_1_2023;IAPWS_IF97;ISO_5457;ISO_7200;ISO_129_1;ISO_128_20;ISO_5455;ANSI_Y14_5;ISO_13567_1
GEO-DRW-007,09_geothermal,PROCESS,P&ID de separadores y scrubber,Diagrama P&ID del sistema de separación y demister,always,DETAILED_ENGINEERING,GEO-040;GEO-041;GEO-042;GEO-048;GEO-049;GEO-050;GEO-081;GEO-082;GEO-083,GEO-C-007;GEO-C-008;GEO-C-010;GEO-C-017;GEO-C-018,GEO-GR-003,"['P_ID','INSTRUMENT_LOOP']",['INSTRUMENT_LIST'],SYM-PFD-SEPARATOR;SYM-PFD-DEMISTER;SYM-PFD-VALVE-CV,A1,1:50,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;GEO-PROC-PID-SEP,INSTRUMENT_TAGS;VALVE_TAGS;CONTROL_LOOPS,GEO-DRW-006;GEO-DRW-014,GEO-QA-008;GEO-QA-020,['AMI_AND_LSI_CHECK'],ISO_10628;ISO_10628_2;ISO_14617;ISO_14617_2;ASME_BPVC_VIII_1_2023;ASME_B31_3_2022;IAPWS_IF97;ISO_5457;ISO_7200;ISO_129_1;ISO_128_20;ISO_5455;ANSI_Y14_5;ISO_13567_1
GEO-DRW-008,09_geothermal,MECHANICAL,Plano de la turbina de vapor,Distribución de la turbina de vapor condensante y generador,"plant_type in [dry_steam,single_flash,double_flash,flash_binary_hybrid]",DETAILED_ENGINEERING,GEO-060;GEO-061;GEO-062;GEO-063;GEO-064;GEO-106,GEO-C-014,GEO-GR-010,"['TURBINE_PLAN','TURBINE_FOUNDATION']",['TURBINE_DATA_TABLE'],SYM-GEO-TURBINE;SYM-GEO-GENERATOR;SYM-GEO-CRANE,A1,1:50,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;GEO-MECH-TURBINE,TURBINE_CAPACITY;INLET_P_T;EXHAUST_P;EFFICIENCY,GEO-DRW-002;GEO-DRW-009,GEO-QA-009;GEO-QA-021,['TURBINE_EFFICIENCY_80PCT'],ASME_PTC_10;IAPWS_IF97;ISO_1940_1;ISO_5457;ISO_7200;ISO_129_1;ISO_128_20;ISO_5455;ANSI_Y14_5;ISO_13567_1
GEO-DRW-009,09_geothermal,MECHANICAL,Sección de la turbina de vapor,Vista en sección de la turbina de vapor condensante,"plant_type in [dry_steam,single_flash,double_flash,flash_binary_hybrid]",DETAILED_ENGINEERING,GEO-060;GEO-061;GEO-062;GEO-063;GEO-064,GEO-C-014,GEO-GR-010,"['TURBINE_SECTION','BLADE_DETAIL']",['BLADE_DIMENSIONS_TABLE'],SYM-GEO-TURBINE-BLADE;SYM-GEO-NOZZLE,A2,1:20,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;GEO-MECH-TURBINE-SECTION,BLADE_STAGES;SEAL_TYPE;BEARING_TYPE,GEO-DRW-008,GEO-QA-010;GEO-QA-022,['ISO_1940_BALANCE_GRADE'],ASME_PTC_10;IAPWS_IF97;ISO_1940_1;ISO_1940_1;ISO_5457;ISO_7200;ISO_129_1;ISO_128_20;ISO_5455;ANSI_Y14_5;ISO_13567_1
GEO-DRW-010,09_geothermal,MECHANICAL,Plano de la unidad ORC binaria,Distribución modular de la unidad ORC y su ACC,plant_type contains binary,DETAILED_ENGINEERING,GEO-090;GEO-091;GEO-092;GEO-093;GEO-094;GEO-095;GEO-096;GEO-097;GEO-098;GEO-103,GEO-C-024;GEO-C-025;GEO-C-026;GEO-C-027,GEO-GR-013;GEO-GR-014,"['ORC_PLAN','ACC_PLAN','ORC_FOUNDATION']",['ORC_DATA_TABLE'],SYM-GEO-ORC-SKID;SYM-GEO-ACC-FAN;SYM-GEO-ORC-TURBINE,A1,1:50,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;GEO-MECH-ORC,WORKING_FLUID;MASS_FLOW;VAPORIZER_DUTY;CONDENSER_DUTY;ACC_FAN_COUNT,GEO-DRW-002;GEO-DRW-011,GEO-QA-011;GEO-QA-023,['ORC_EFFICIENCY_GE_8PCT'],ISO_15547_1;ASME_BPVC_VIII_1_2023;ASME_PTC_10;IAPWS_IF97;ISO_5457;ISO_7200;ISO_129_1;ISO_128_20;ISO_5455;ANSI_Y14_5;ISO_13567_1
