drawing_id,technology,discipline,title_es,purpose,applicability_expression,minimum_project_stage,required_field_ids,required_calculation_ids,required_geometry_rule_ids,required_views,required_tables,required_symbol_ids,preferred_sheet_formats,preferred_scales,required_layers,mandatory_annotations,cross_references,qa_rule_ids,release_blockers,source_ids
PVF-DRW-001,PV_FLOATING,GEN,Plano de ubicación,Localización del proyecto,always,PRE_FEASIBILITY,PVF-001;PVF-002;PVF-003,PVF-CAL-001;PVF-CAL-002;PVF-CAL-003,PVF-GEO-001;PVF-GEO-002;PVF-GEO-003,PLAN,DRAWING_INFO,SYM-COM-AS-BUILT-STAMP;SYM-COM-LEGEND;SYM-COM-LPS,A1,1:200,GEN-ALL-BORDER;GEN-ALL-NORTH-ARROW;GEN-ALL-SCALE-BAR;GEN-ALL-LEGEND,"Title, scale, north arrow, legend",-,PVF-QA-001,AFC stamp required,ISO_19111;RNE_DS_011_2006
PVF-DRW-002,PV_FLOATING,GEN,Plano de implantación,Distribución general,always,BASIC_ENGINEERING,PVF-001;PVF-002;PVF-003,PVF-CAL-001;PVF-CAL-002;PVF-CAL-003,PVF-GEO-001;PVF-GEO-002;PVF-GEO-003,PLAN,DRAWING_INFO,SYM-COM-AS-BUILT-STAMP;SYM-COM-LEGEND;SYM-COM-LPS,A1,1:200,GEN-ALL-BORDER;GEN-ALL-NORTH-ARROW;GEN-ALL-SCALE-BAR;GEN-ALL-LEGEND,"Title, scale, north arrow, legend",-,PVF-QA-001,AFC stamp required,ISO_19111;RNE_DS_011_2006
PVF-DRW-003,PV_FLOATING,GEN,Plano de replanteo,Replanteo de equipos,always,BASIC_ENGINEERING,PVF-001;PVF-002;PVF-003,PVF-CAL-001;PVF-CAL-002;PVF-CAL-003,PVF-GEO-001;PVF-GEO-002;PVF-GEO-003,PLAN,DRAWING_INFO,SYM-COM-AS-BUILT-STAMP;SYM-COM-LEGEND;SYM-COM-LPS,A1,1:200,GEN-ALL-BORDER;GEN-ALL-NORTH-ARROW;GEN-ALL-SCALE-BAR;GEN-ALL-LEGEND,"Title, scale, north arrow, legend",-,PVF-QA-001,AFC stamp required,ISO_19111;RNE_DS_011_2006
PVF-DRW-004,PV_FLOATING,GEN,Plano de strings/arreglo,Layout del arreglo,always,BASIC_ENGINEERING,PVF-001;PVF-002;PVF-003,PVF-CAL-001;PVF-CAL-002;PVF-CAL-003,PVF-GEO-001;PVF-GEO-002;PVF-GEO-003,PLAN,DRAWING_INFO,SYM-COM-AS-BUILT-STAMP;SYM-COM-LEGEND;SYM-COM-LPS,A1,1:200,GEN-ALL-BORDER;GEN-ALL-NORTH-ARROW;GEN-ALL-SCALE-BAR;GEN-ALL-LEGEND,"Title, scale, north arrow, legend",-,PVF-QA-001,AFC stamp required,ISO_19111;RNE_DS_011_2006
PVF-DRW-005,PV_FLOATING,GEN,Plano de cableado DC,Colección DC,always,DETAILED_ENGINEERING,PVF-001;PVF-002;PVF-003,PVF-CAL-001;PVF-CAL-002;PVF-CAL-003,PVF-GEO-001;PVF-GEO-002;PVF-GEO-003,PLAN,DRAWING_INFO,SYM-COM-AS-BUILT-STAMP;SYM-COM-LEGEND;SYM-COM-LPS,A1,1:200,GEN-ALL-BORDER;GEN-ALL-NORTH-ARROW;GEN-ALL-SCALE-BAR;GEN-ALL-LEGEND,"Title, scale, north arrow, legend",-,PVF-QA-001,AFC stamp required,ISO_19111;RNE_DS_011_2006
PVF-DRW-006,PV_FLOATING,GEN,Plano de cableado AC,Colección AC,always,DETAILED_ENGINEERING,PVF-001;PVF-002;PVF-003,PVF-CAL-001;PVF-CAL-002;PVF-CAL-003,PVF-GEO-001;PVF-GEO-002;PVF-GEO-003,PLAN,DRAWING_INFO,SYM-COM-AS-BUILT-STAMP;SYM-COM-LEGEND;SYM-COM-LPS,A1,1:200,GEN-ALL-BORDER;GEN-ALL-NORTH-ARROW;GEN-ALL-SCALE-BAR;GEN-ALL-LEGEND,"Title, scale, north arrow, legend",-,PVF-QA-001,AFC stamp required,ISO_19111;RNE_DS_011_2006
PVF-DRW-007,PV_FLOATING,GEN,Diagrama unifilar SLD,Diagrama unifilar,always,DETAILED_ENGINEERING,PVF-001;PVF-002;PVF-003,PVF-CAL-001;PVF-CAL-002;PVF-CAL-003,PVF-GEO-001;PVF-GEO-002;PVF-GEO-003,PLAN,DRAWING_INFO,SYM-COM-AS-BUILT-STAMP;SYM-COM-LEGEND;SYM-COM-LPS,A1,1:200,GEN-ALL-BORDER;GEN-ALL-NORTH-ARROW;GEN-ALL-SCALE-BAR;GEN-ALL-LEGEND,"Title, scale, north arrow, legend",-,PVF-QA-001,AFC stamp required,ISO_19111;RNE_DS_011_2006
PVF-DRW-008,PV_FLOATING,GEN,Detalle de cimentaciones,Cimentaciones,always,DETAILED_ENGINEERING,PVF-001;PVF-002;PVF-003,PVF-CAL-001;PVF-CAL-002;PVF-CAL-003,PVF-GEO-001;PVF-GEO-002;PVF-GEO-003,PLAN,DRAWING_INFO,SYM-COM-AS-BUILT-STAMP;SYM-COM-LEGEND;SYM-COM-LPS,A1,1:200,GEN-ALL-BORDER;GEN-ALL-NORTH-ARROW;GEN-ALL-SCALE-BAR;GEN-ALL-LEGEND,"Title, scale, north arrow, legend",-,PVF-QA-001,AFC stamp required,ISO_19111;RNE_DS_011_2006
PVF-DRW-009,PV_FLOATING,GEN,Detalle de estructuras,Estructuras de soporte,always,DETAILED_ENGINEERING,PVF-001;PVF-002;PVF-003,PVF-CAL-001;PVF-CAL-002;PVF-CAL-003,PVF-GEO-001;PVF-GEO-002;PVF-GEO-003,PLAN,DRAWING_INFO,SYM-COM-AS-BUILT-STAMP;SYM-COM-LEGEND;SYM-COM-LPS,A1,1:200,GEN-ALL-BORDER;GEN-ALL-NORTH-ARROW;GEN-ALL-SCALE-BAR;GEN-ALL-LEGEND,"Title, scale, north arrow, legend",-,PVF-QA-001,AFC stamp required,ISO_19111;RNE_DS_011_2006
PVF-DRW-010,PV_FLOATING,GEN,Sección transversal,Sección del módulo/array,always,DETAILED_ENGINEERING,PVF-001;PVF-002;PVF-003,PVF-CAL-001;PVF-CAL-002;PVF-CAL-003,PVF-GEO-001;PVF-GEO-002;PVF-GEO-003,PLAN,DRAWING_INFO,SYM-COM-AS-BUILT-STAMP;SYM-COM-LEGEND;SYM-COM-LPS,A1,1:200,GEN-ALL-BORDER;GEN-ALL-NORTH-ARROW;GEN-ALL-SCALE-BAR;GEN-ALL-LEGEND,"Title, scale, north arrow, legend",-,PVF-QA-001,AFC stamp required,ISO_19111;RNE_DS_011_2006
