drawing_id,technology,discipline,title_es,purpose,applicability_expression,minimum_project_stage,required_field_ids,required_calculation_ids,required_geometry_rule_ids,required_views,required_tables,required_symbol_ids,preferred_sheet_formats,preferred_scales,required_layers,mandatory_annotations,cross_references,qa_rule_ids,release_blockers,source_ids
CSP-DRW-001,10_solar_thermal_csp,CIVIL,Plano de ubicación del proyecto CSP,Localización geográfica del sitio CSP y su contexto regional,always,FEASIBILITY,CSP-001;CSP-002;CSP-003;CSP-005;CSP-006;CSP-108;CSP-121,CSP-C-001;CSP-C-030,CSP-GR-020,"['SITE_PLAN','REGIONAL_CONTEXT','NORTH_ARROW']","['COORDINATE_TABLE','AREA_SUMMARY']",SYM-COM-NORTH;SYM-COM-SCALEBAR;SYM-COM-LEGEND,A1,1:5000,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;CSP-CIV-SITEPLAN,LAT_LON;ELEVATION;TOTAL_AREA;DNI_ANNUAL,DRW-COM-001,CSP-QA-001;CSP-QA-040,"['LAT_LON_FORMAT','AREA_CALC']",ISO_5457;ISO_7200;ISO_129_1;ISO_128_20;ISO_5455;ANSI_Y14_5;ISO_13567_1;NSRDB_NREL;NREL_SAM_2024;ASTM_E891;ISO_9806;ISO_19111;NASA_POWER;MINAM_DS_019_2009
CSP-DRW-002,10_solar_thermal_csp,CIVIL,Plano de implantación general CSP,Planta general con coordenadas absolutas de todos los equipos del CSP,always,BASIC_ENGINEERING,CSP-001;CSP-002;CSP-005;CSP-064;CSP-065;CSP-093;CSP-097;CSP-098;CSP-099;CSP-108,CSP-C-029;CSP-C-030,CSP-GR-002;CSP-GR-006;CSP-GR-007;CSP-GR-008;CSP-GR-011;CSP-GR-012;CSP-GR-018;CSP-GR-019;CSP-GR-020;CSP-GR-021,"['IMPLANT_PLAN','EQUIPMENT_PLAN','FENCE_PLAN']","['IMPLANT_COORD_TABLE','EQUIPMENT_TABLE']",SYM-COM-NORTH;SYM-COM-SCALEBAR;SYM-CSP-FENCE,A0,1:500,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;CSP-CIV-IMPLANT,COORDINATE_TABLE;PLANT_CAPACITY;FENCE_LENGTH,CSP-DRW-001;CSP-DRW-003;CSP-DRW-004;CSP-DRW-005,CSP-QA-002;CSP-QA-040;CSP-QA-041,['NO_MISSING_DIMENSIONS'],ISO_5457;ISO_7200;ISO_129_1;ISO_128_20;ISO_5455;ANSI_Y14_5;ISO_13567_1;NREL_SAM_2024;NREL_TES_CSP;ASTM_C1549
CSP-DRW-003,10_solar_thermal_csp,CIVIL,Layout del campo de heliostatos,Distribución de heliostatos según layout óptimo SolarPILOT con acceso y ruteo,plant_type == tower_heliostat,BASIC_ENGINEERING,CSP-001;CSP-002;CSP-005;CSP-029;CSP-030;CSP-031;CSP-032;CSP-033;CSP-034;CSP-035;CSP-036;CSP-037;CSP-038;CSP-039;CSP-093;CSP-095;CSP-013;CSP-118,CSP-C-001;CSP-C-006;CSP-C-007;CSP-C-008;CSP-C-010;CSP-C-028;CSP-C-029,CSP-GR-001;CSP-GR-016;CSP-GR-020,"['HELIOSTAT_FIELD_PLAN','ACCESS_ROAD_PLAN','PEDESTAL_DETAIL']","['HELIOSTAT_TABLE','LAYOUT_TYPE_TABLE']",SYM-COM-NORTH;SYM-CSP-HELIOSTAT;SYM-CSP-PEDESTAL,A0,1:1000,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;CSP-CIV-HELIOSTAT-FIELD,HELIOSTAT_ID;LAYOUT_TYPE;PACKING_DENSITY;BLOCKING;SHADING;COSINE_EFF,CSP-DRW-001;CSP-DRW-002,CSP-QA-003;CSP-QA-004;CSP-QA-042,"['OPTICAL_EFF_GT_60PCT','BLOCKING_LT_20PCT']",NREL_SAM_2024;NREL_TES_CSP;ASTM_C1549;ISO_5457;ISO_7200;ISO_129_1;ISO_128_20;ISO_5455;ANSI_Y14_5;ISO_13567_1;NREL_SAM_2024;ISO_9806;ASHRAE_93;ASTM_C1549
CSP-DRW-004,10_solar_thermal_csp,CIVIL,Layout de colectores parabólicos,Distribución de filas de colectores parabólicos con spacing por sombreado,plant_type == parabolic_trough,BASIC_ENGINEERING,CSP-001;CSP-002;CSP-005;CSP-103;CSP-104;CSP-020;CSP-021;CSP-105;CSP-106;CSP-107;CSP-013,CSP-C-010;CSP-C-026;CSP-C-027,CSP-GR-003;CSP-GR-016,"['TROUGH_FIELD_PLAN','LOOP_DETAIL','ROW_PROFILE']","['LOOP_TABLE','ROW_SPACING_TABLE']",SYM-COM-NORTH;SYM-CSP-TROUGH;SYM-CSP-HCE,A0,1:1000,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;CSP-CIV-TROUGH-FIELD,LOOP_ID;ROW_SPACING;IAM;END_LOSS;HCE_DIA;ABSORPTANCE,CSP-DRW-001;CSP-DRW-002,CSP-QA-005;CSP-QA-043,['TROUGH_THERMAL_EFF_GT_40PCT'],NREL_SAM_2024;NREL_TES_CSP;ASTM_C1549;ISO_5457;ISO_7200;ISO_129_1;ISO_128_20;ISO_5455;ANSI_Y14_5;ISO_13567_1;NREL_SAM_2024;ISO_9806;ASHRAE_93;ASTM_C1549
CSP-DRW-005,10_solar_thermal_csp,MECHANICAL,Plano de torre receptora,Planta de la torre receptora solar con fundación y elementos estructurales,plant_type == tower_heliostat,BASIC_ENGINEERING,CSP-001;CSP-093;CSP-094;CSP-026;CSP-040;CSP-041;CSP-042;CSP-043;CSP-045;CSP-117;CSP-118,CSP-C-011;CSP-C-016;CSP-C-029,CSP-GR-002,"['TOWER_PLAN','FOUNDATION_PLAN','RECEIVER_PLAN']",['TOWER_DIMENSIONS_TABLE'],SYM-CSP-TOWER;SYM-CSP-RECEIVER;SYM-CSP-FOUNDATION,A1,1:100,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;CSP-MECH-TOWER-PLAN,TOWER_HEIGHT;FOUNDATION_TYPE;RECEIVER_TYPE;PGA;BEARING_CAPACITY,CSP-DRW-002;CSP-DRW-006,CSP-QA-006;CSP-QA-044,"['TOWER_HEIGHT_GT_20M','PGA_LT_1PCT']",MINAM_DS_019_2009;ISO_14685;ANSI_Y14_5;ASME_BPVC_VIII_1_2023;ISO_9806;NREL_TES_CSP;IAPWS_IF97;ISO_5457;ISO_7200;ISO_129_1;ISO_128_20;ISO_5455;ANSI_Y14_5;ISO_13567_1
CSP-DRW-006,10_solar_thermal_csp,MECHANICAL,Sección de torre receptora,Sección longitudinal de la torre receptora solar con receptor y fundación,plant_type == tower_heliostat,DETAILED_ENGINEERING,CSP-040;CSP-041;CSP-042;CSP-043;CSP-044;CSP-045;CSP-093;CSP-094,CSP-C-016;CSP-C-029,CSP-GR-002,"['TOWER_SECTION','RECEIVER_SECTION','FOUNDATION_SECTION']",['RECEIER_LOSS_TABLE'],SYM-CSP-TOWER;SYM-CSP-RECEIVER;SYM-CSP-HCE,A1,1:100,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;CSP-MECH-TOWER-SECTION,RECEIVER_TYPE;RECEIVER_HEIGHT;RECEIVER_DIAMETER;THERMAL_LOSS;DESIGN_PRESSURE,CSP-DRW-005,CSP-QA-007;CSP-QA-044,['ASME_BPVC_VIII_STAMP'],ASME_BPVC_VIII_1_2023;ISO_9806;NREL_TES_CSP;IAPWS_IF97;MINAM_DS_019_2009;ISO_14685;ANSI_Y14_5;ISO_5457;ISO_7200;ISO_129_1;ISO_128_20;ISO_5455;ANSI_Y14_5;ISO_13567_1
CSP-DRW-007,10_solar_thermal_csp,PROCESS,PFD del sistema HTF,Diagrama de flujo de proceso (PFD) del sistema HTF,always,BASIC_ENGINEERING,CSP-046;CSP-047;CSP-048;CSP-049;CSP-050;CSP-051;CSP-052;CSP-053;CSP-074;CSP-075;CSP-076;CSP-077;CSP-055;CSP-056;CSP-112;CSP-113;CSP-114,CSP-C-012;CSP-C-013;CSP-C-014;CSP-C-023;CSP-C-024;CSP-C-031;CSP-C-032,CSP-GR-013;CSP-GR-015;CSP-GR-022,"['PFD','HTF_FLOW_DIAGRAM']","['EQUIPMENT_LIST','FLOW_TABLE']",SYM-PFD-TANK;SYM-PFD-PUMP;SYM-PFD-HEX;SYM-PFD-VALVE,A1,1:50,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;CSP-PROC-PFD-HTF,HTF_TYPE;T_COLD;T_HOT;DESIGN_PRESSURE;FREEZE_PROTECTION,CSP-DRW-008;CSP-DRW-009,CSP-QA-008;CSP-QA-045,['ASME_B31_1_STAMP'],ISO_10628;ISO_10628_2;ISO_14617;ISO_14617_2;ASME_B31_1_2022;NIST_WEBBOOK;IAPWS_IF97;NREL_TES_CSP;ISO_5457;ISO_7200;ISO_129_1;ISO_128_20;ISO_5455;ANSI_Y14_5;ISO_13567_1
CSP-DRW-008,10_solar_thermal_csp,PROCESS,P&ID del sistema HTF,Diagrama P&ID del sistema HTF con instrumentación y control,always,DETAILED_ENGINEERING,CSP-046;CSP-051;CSP-052;CSP-053;CSP-074;CSP-075;CSP-076;CSP-112;CSP-113;CSP-114;CSP-089;CSP-090;CSP-091;CSP-092,CSP-C-012;CSP-C-023;CSP-C-024;CSP-C-031;CSP-C-032,CSP-GR-013;CSP-GR-014;CSP-GR-015,"['P_ID','INSTRUMENT_LOOP','CONTROL_LOOP']","['INSTRUMENT_LIST','VALVE_LIST']",SYM-PID-PUMP;SYM-PID-TANK;SYM-PID-VALVE-CV;SYM-PID-FT;SYM-PID-TT,A1,1:50,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;CSP-PROC-PID-HTF,INSTRUMENT_TAGS;VALVE_TAGS;CONTROL_LOOPS;HTF_TYPE,CSP-DRW-007;CSP-DRW-009,CSP-QA-009;CSP-QA-046,"['NFPA_30_IF_OIL','FREEZE_PROTECTION_IF_SALT']",ISO_10628;ISO_10628_2;ISO_14617;ISO_14617_2;ASME_B31_1_2022;ASME_BPVC_VIII_1_2023;NIST_WEBBOOK;ISO_5457;ISO_7200;ISO_129_1;ISO_128_20;ISO_5455;ANSI_Y14_5;ISO_13567_1
CSP-DRW-009,10_solar_thermal_csp,PROCESS,P&ID del TES,Diagrama P&ID del sistema de almacenamiento térmico (TES),always,DETAILED_ENGINEERING,CSP-054;CSP-055;CSP-056;CSP-057;CSP-058;CSP-046;CSP-051;CSP-052;CSP-112;CSP-113;CSP-114,CSP-C-014;CSP-C-015;CSP-C-024,CSP-GR-006;CSP-GR-022,"['P_ID','TES_SCHEMATIC','TANK_DETAIL']","['TES_CAPACITY_TABLE','TANK_DIMENSIONS']",SYM-PID-TANK;SYM-PID-PUMP;SYM-PID-VALVE,A1,1:50,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;CSP-PROC-PID-TES,TES_TYPE;HOT_TANK_VOL;COLD_TANK_VOL;TES_HOURS;FREEZE_PROTECTION,CSP-DRW-007;CSP-DRW-008,CSP-QA-010;CSP-QA-046,"['TES_HOURS_GT_6','ASME_BPVC_STAMP']",ISO_10628;ISO_10628_2;ISO_14617;ISO_14617_2;ASME_BPVC_VIII_1_2023;NREL_TES_CSP;NREL_SAM_2024;ISO_5457;ISO_7200;ISO_129_1;ISO_128_20;ISO_5455;ANSI_Y14_5;ISO_13567_1
CSP-DRW-010,10_solar_thermal_csp,PROCESS,P&ID del ciclo de vapor,"Diagrama P&ID del ciclo de vapor (steam cycle) con SG, turbina y condensador",always,DETAILED_ENGINEERING,CSP-059;CSP-060;CSP-061;CSP-062;CSP-063;CSP-066;CSP-067;CSP-068;CSP-069;CSP-070;CSP-071;CSP-072,CSP-C-017;CSP-C-018;CSP-C-019;CSP-C-020,CSP-GR-007;CSP-GR-008;CSP-GR-009,"['P_ID','STEAM_CYCLE_DIAGRAM','TURBINE_LOOP']","['INSTRUMENT_LIST','CONTROL_LOOP']",SYM-PID-TURBINE;SYM-PID-CONDENSER;SYM-PID-SG;SYM-PID-PUMP,A1,1:50,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;CSP-PROC-PID-STEAM,SG_DUTY;TURBINE_TYPE;INLET_P_T;CONDENSER_TYPE;RANKINE_EFF,CSP-DRW-007;CSP-DRW-011,CSP-QA-011;CSP-QA-012;CSP-QA-046,"['RANKINE_EFF_GT_35PCT','SCO2_EFF_GT_45PCT']",ISO_10628;ISO_10628_2;ISO_14617;ISO_14617_2;ASME_PTC_10;IAPWS_IF97;ISO_1940_1;ISO_5457;ISO_7200;ISO_129_1;ISO_128_20;ISO_5455;ANSI_Y14_5;ISO_13567_1
