field_id,category,name_es,description,data_type,unit,allowed_values,min_value,max_value,precision,requirement_class,required_from_stage,conditional_expression,prohibited_default,expected_source_document,extraction_hints,used_by_calculation_ids,used_by_drawing_ids,blocking_if_missing,review_role,source_ids
CSP-001,site,site_latitude_deg,Latitud geodésica del centro de la planta CSP,float,deg,"[-90,90]",-90,90,6,PROJECT_MANDATORY,FEASIBILITY,true,true,Estudio topográfico o GPS del sitio,6 decimales;WGS84,CSP-C-030;CSP-C-032,CSP-DRW-001;CSP-DRW-002;CSP-DRW-017,true,LEAD_ENGINEER_CIVIL,ISO_19111;NASA_POWER;MINAM_DS_019_2009
CSP-002,site,site_longitude_deg,Longitud geodésica del centro de la planta CSP,float,deg,"[-180,180]",-180,180,6,PROJECT_MANDATORY,FEASIBILITY,true,true,Estudio topográfico o GPS del sitio,6 decimales;WGS84,CSP-C-030;CSP-C-032,CSP-DRW-001;CSP-DRW-002;CSP-DRW-017,true,LEAD_ENGINEER_CIVIL,ISO_19111;NASA_POWER;MINAM_DS_019_2009
CSP-003,site,site_elevation_masl,Elevación media del sitio sobre el nivel del mar,float,m,"[0,4500]",0,4500,1,PROJECT_MANDATORY,FEASIBILITY,true,true,Estudio topográfico,Dato de altitud,CSP-C-021;CSP-C-022;CSP-C-032,CSP-DRW-001;CSP-DRW-002,true,LEAD_ENGINEER_CIVIL,ISO_19111;NASA_POWER;MINAM_DS_019_2009
CSP-004,site,timezone_utc_offset,Desfase horario oficial del sitio respecto a UTC,float,h,"[-12,14]",-12,14,1,PROJECT_MANDATORY,FEASIBILITY,true,true,Ubicación geopolítica del sitio,UTC-5 para Perú,CSP-C-030,CSP-DRW-013,true,PROJECT_MANAGER,ISO_19111;MINEM_DS_043_2006
CSP-005,site,site_area_m2,Área total del terreno asignado al proyecto CSP,float,m2,"[100000,20000000]",100000,20000000,1,PROJECT_MANDATORY,FEASIBILITY,true,true,Título de propiedad o levantamiento topográfico,Área cerrada incluye campo solar y BOP,CSP-C-001;CSP-C-030,CSP-DRW-001;CSP-DRW-002,true,LEAD_ENGINEER_CIVIL,ISO_19111;NASA_POWER;MINAM_DS_019_2009
CSP-006,solar_resource,DNI_annual_kWh_m2_yr,Irradiancia normal directa anual acumulada (DNI) del sitio,float,kWh/m2/yr,"[1000,3000]",1000,3000,1,PROHIBITED_TO_ASSUME,FEASIBILITY,true,true,Estudio de recurso solar (TMY) basado en NSRDB/NASA POWER,DNI anual sobre plano normal; viabilidad > 1800,CSP-C-001;CSP-C-030,CSP-DRW-001;CSP-DRW-003;CSP-DRW-004,true,SOLAR_RESOURCE_ENGINEER,NSRDB_NREL;NREL_SAM_2024;ASTM_E891;ISO_9806
CSP-007,solar_resource,DNI_daily_avg_kWh_m2_day,Promedio diario anual de DNI del sitio,float,kWh/m2/day,"[2.5,9.0]",2.5,9.0,2,PROHIBITED_TO_ASSUME,BASIC_ENGINEERING,true,true,Estudio de recurso solar,DNI medio diario,CSP-C-001,CSP-DRW-001,true,SOLAR_RESOURCE_ENGINEER,NSRDB_NREL;NREL_SAM_2024;ASTM_E891;ISO_9806
CSP-008,solar_resource,DNI_hourly_TMY_count,Número de horas horarias con DNI en el archivo TMY,int,-,"[100,9000]",100,9000,0,PROHIBITED_TO_ASSUME,BASIC_ENGINEERING,true,true,Archivo TMY (NSRDB) del sitio,Horas con DNI > 0,CSP-C-002;CSP-C-003;CSP-C-030,CSP-DRW-003,true,SOLAR_RESOURCE_ENGINEER,NSRDB_NREL;NREL_SAM_2024;ASTM_E891;ISO_9806
CSP-009,solar_resource,GHI_annual_kWh_m2_yr,Irradiancia global horizontal anual del sitio,float,kWh/m2/yr,"[1000,2500]",1000,2500,1,TECHNOLOGY_MANDATORY,BASIC_ENGINEERING,true,true,Estudio de recurso solar,GHI anual de respaldo,CSP-C-002,CSP-DRW-001,false,SOLAR_RESOURCE_ENGINEER,NSRDB_NREL;NREL_SAM_2024;ASTM_E891;ISO_9806
CSP-010,solar_resource,DHI_annual_kWh_m2_yr,Irradiancia difusa horizontal anual del sitio,float,kWh/m2/yr,"[100,800]",100,800,1,TECHNOLOGY_MANDATORY,BASIC_ENGINEERING,true,true,Estudio de recurso solar,DHI anual,CSP-C-002,CSP-DRW-001,false,SOLAR_RESOURCE_ENGINEER,NSRDB_NREL;NREL_SAM_2024;ASTM_E891;ISO_9806
