field_id,category,name_es,description,data_type,unit,allowed_values,min_value,max_value,precision,requirement_class,required_from_stage,conditional_expression,prohibited_default,expected_source_document,extraction_hints,used_by_calculation_ids,used_by_drawing_ids,blocking_if_missing,review_role,source_ids
PVR-001,roof_geometry,tipo_de_cubierta,Clasificación estructural y material de la cubierta donde se implantan los módulos.,enum,-,metal_deck|corrugated_metal|concrete_slab|tile|ETFE|membrane_TPO|membrane_EPDM|asphalt_shingle|sandwich_panel,,,0,PROJECT_MANDATORY,FEASIBILITY,,true,Memoría de diseño / inspección in situ,"Incluir tipo de panel sándwich, espesor, calibre del metal deck; fotos de cubierta",PVR-C-003;PVR-C-019;PVR-C-021,PVR-DRW-001;PVR-DRW-002;PVR-DRW-007,true,STRUCTURAL_ENGINEER,IEC_62548;RNE_DS_011_2006
PVR-002,roof_geometry,pendiente_cubierta_grados,"Pendiente de la cubierta medida desde la horizontal, en grados sexagesimales.",number,deg,,0,60,0.1,PROJECT_MANDATORY,FEASIBILITY,,false,Plano arquitectónico / levantamiento topográfico,Verificar pendiente real vs nominal; influye en cargas de viento y nieve,PVR-C-001;PVR-C-003;PVR-C-015;PVR-C-021,PVR-DRW-001;PVR-DRW-007;PVR-DRW-013,true,STRUCTURAL_ENGINEER,IEC_62548;RNE_DS_011_2006;DNV_RP_C205
PVR-003,roof_geometry,orientacion_cubierta_azimut_grados,"Azimut de la normal al plano de cubierta medido desde el sur, en grados (-180..+180).",number,deg,,-180,180,1,PROJECT_MANDATORY,FEASIBILITY,,true,Plano arquitectónico / GPS,Sur=0; Este=-90; Oeste=+90; Norte=180; influencia directa en producción,PVR-C-001;PVR-C-008;PVR-C-010,PVR-DRW-001;PVR-DRW-002,true,LEAD_ENGINEER_ELECTRICAL,IEC_62548;NREL_PVWatts
PVR-004,roof_geometry,area_disponible_cubierta_m2,"Área neta utilizable sobre la cubierta tras descuentos por claraboyas, conductos, parapetos y pasillos de incendio.",number,m2,,5,500000,0.1,PROJECT_MANDATORY,FEASIBILITY,,false,Plano de implantación / medición de campo,No confundir con área bruta; aplicar setbacks IFC 605.5,PVR-C-001;PVR-C-019;PVR-C-024,PVR-DRW-001;PVR-DRW-002;PVR-DRW-003,true,LEAD_ENGINEER_ELECTRICAL,IEC_62548;NFPA_70_2023
PVR-005,roof_geometry,parapeto_altura_m,Altura del parapeto perimetral o interno sobre el nivel de cubierta.,number,m,,0,3,0.01,CONDITIONAL,BASIC_ENGINEERING,"PVR-001 in [metal_deck, concrete_slab, membrane_TPO, membrane_EPDM]",false,Plano arquitectónico,Influencia en sombreado y en rebosadero de drenaje,PVR-C-010;PVR-C-016;PVR-C-019,PVR-DRW-001;PVR-DRW-013,false,STRUCTURAL_ENGINEER,RNE_DS_011_2006;IEC_62548
PVR-006,roof_geometry,drip_edge_presente,Indica si la cubierta posee drip edge (borde de goteo) perimetral.,boolean,-,true|false,,,0,RECOMMENDED,BASIC_ENGINEERING,,false,Inspección visual,Necesario para evitar infiltración tras perforaciones cerca del borde,PVR-C-016;PVR-C-021,PVR-DRW-001;PVR-DRW-013,false,STRUCTURAL_ENGINEER,RNE_DS_011_2006
PVR-007,roof_geometry,cantidad_claraboyas,Número de claraboyas (skylights) presentes en la cubierta.,integer,-,,0,500,1,PROJECT_MANDATORY,BASIC_ENGINEERING,,false,Plano arquitectónico / inspección,Genera buffer de exclusión de 1.0 m alrededor de cada claraboya,PVR-C-010;PVR-C-021,PVR-DRW-001;PVR-DRW-002,true,LEAD_ENGINEER_ELECTRICAL,IEC_62548;NFPA_70_2023
PVR-008,roof_geometry,cantidad_ductos_ventilacion,"Número de ductos de ventilación, cañerías y penetraciones en la cubierta.",integer,-,,0,1000,1,PROJECT_MANDATORY,BASIC_ENGINEERING,,false,Plano arquitectónico / inspección,Buffer de exclusión 0.5 m por ducto,PVR-C-010;PVR-C-021,PVR-DRW-001;PVR-DRW-002,true,LEAD_ENGINEER_ELECTRICAL,IEC_62548
PVR-009,roof_geometry,cantidad_escotillas_acceso,Número de escotillas (roof hatches) de acceso a la cubierta.,integer,-,,0,20,1,PROJECT_MANDATORY,BASIC_ENGINEERING,,false,Plano arquitectónico,Conservar corredor libre 1.2 m frente a escotilla,PVR-C-010;PVR-C-021,PVR-DRW-001;PVR-DRW-016,true,LEAD_ENGINEER_ELECTRICAL,NFPA_70_2023;IEC_62548
PVR-010,roof_structural,carga_muerta_existente_kN_m2,Carga muerta existente sobre la cubierta antes del sistema PV (membrana + aislante + grava).,number,kN/m2,,0.05,5,0.01,PROJECT_MANDATORY,BASIC_ENGINEERING,,true,Memoria de cálculo estructural existente,"Sin memoria, requiere peritaje; nunca asumir 0.0",PVR-C-019;PVR-C-021,PVR-DRW-001;PVR-DRW-006;PVR-DRW-012,true,STRUCTURAL_ENGINEER,RNE_DS_011_2006;IEC_62548
