drawing_id,technology,discipline,title_es,purpose,applicability_expression,minimum_project_stage,required_field_ids,required_calculation_ids,required_geometry_rule_ids,required_views,required_tables,required_symbol_ids,preferred_sheet_formats,preferred_scales,required_layers,mandatory_annotations,cross_references,qa_rule_ids,release_blockers,source_ids
WOF-DRW-001,WIND_OFFSHORE,GEN,Plano de batimetria del sitio,"Curvas batimetricas, sondas, tides",always,PRE_FEASIBILITY,WOF-001,WOF-CALC-001;WOF-CALC-003,WOF-GEO-001,PLAN,DRAWING_INFO,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1,1:200,C-SCADA|C-COMM,"Title, scale, north arrow, legend",-,WOF-QA-001,AFC stamp required,DNV_RP_C205;ISO_19111
WOF-DRW-002,WIND_OFFSHORE,GEN,Implantacion general offshore,"Limite concesion, posicion central, exclusiones, navegacion",always,PRE_FEASIBILITY,WOF-001,WOF-CALC-028;WOF-CALC-027,WOF-GEO-001,PLAN,DRAWING_INFO,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1,1:200,C-SCADA|C-COMM,"Title, scale, north arrow, legend",-,WOF-QA-001,AFC stamp required,ISO_19111
WOF-DRW-003,WIND_OFFSHORE,GEN,Micrositing del parque eolico,"Posicion de cada WT, separacion 7D, orientacion",always,BASIC_ENGINEERING,WOF-001,WOF-CALC-005;WOF-CALC-006;WOF-CALC-028,WOF-GEO-001,PLAN,DRAWING_INFO,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1,1:200,C-SCADA|C-COMM,"Title, scale, north arrow, legend",-,WOF-QA-001,AFC stamp required,IEC_61400_3_1;IEC_61400_12_1
WOF-DRW-004,WIND_OFFSHORE,GEN,Plano de cables inter-array,"Trazado cables inter-array, tablas longitudes, secciones",always,DETAILED_ENGINEERING,WOF-001,WOF-CALC-019,WOF-GEO-001,PLAN,DRAWING_INFO,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1,1:200,C-SCADA|C-COMM,"Title, scale, north arrow, legend",-,WOF-QA-001,AFC stamp required,DNV_ST_0519;IEC_60287_1_1
WOF-DRW-005,WIND_OFFSHORE,GEN,Plano de cable de exportacion,"Trazado cable export, HDD, seccion cruzada, perfiles",always,DETAILED_ENGINEERING,WOF-001,WOF-CALC-019;WOF-CALC-022,WOF-GEO-001,PLAN,DRAWING_INFO,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1,1:200,C-SCADA|C-COMM,"Title, scale, north arrow, legend",-,WOF-QA-001,AFC stamp required,DNV_ST_0519;DNV_RP_J202
WOF-DRW-006,WIND_OFFSHORE,GEN,Seccion landfall,"Perfil HDD, profundidad de cubierta, transicion",always,DETAILED_ENGINEERING,WOF-001,WOF-CALC-022,WOF-GEO-001,PLAN,DRAWING_INFO,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1,1:200,C-SCADA|C-COMM,"Title, scale, north arrow, legend",-,WOF-QA-001,AFC stamp required,DNV_ST_0519;DNV_RP_J202
WOF-DRW-007,WIND_OFFSHORE,GEN,Plano de fundaciones (monopile/jacket),Disposicion de fundaciones por WT y OSS,always,DETAILED_ENGINEERING,WOF-001,WOF-CALC-009;WOF-CALC-010,WOF-GEO-001,PLAN,DRAWING_INFO,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1,1:200,C-SCADA|C-COMM,"Title, scale, north arrow, legend",-,WOF-QA-001,AFC stamp required,DNV_OS_J101;DNV_OS_J103
WOF-DRW-008,WIND_OFFSHORE,GEN,Seccion de fundacion,"Cortes de monopile/jacket con penetracion, grout, TP",always,DETAILED_ENGINEERING,WOF-001,WOF-CALC-007;WOF-CALC-010;WOF-CALC-011;WOF-CALC-024,WOF-GEO-001,PLAN,DRAWING_INFO,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1,1:200,C-SCADA|C-COMM,"Title, scale, north arrow, legend",-,WOF-QA-001,AFC stamp required,DNV_OS_J101;DNV_OS_J103
WOF-DRW-009,WIND_OFFSHORE,GEN,Plano de subestacion offshore,"Topside layout, posicion OSS, access platform, helipad",always,DETAILED_ENGINEERING,WOF-001,WOF-CALC-019;WOF-CALC-025,WOF-GEO-001,PLAN,DRAWING_INFO,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1,1:200,C-SCADA|C-COMM,"Title, scale, north arrow, legend",-,WOF-QA-001,AFC stamp required,DNV_OS_J103;IEC_61400_21_1
WOF-DRW-010,WIND_OFFSHORE,GEN,Diagrama unifilar OSS,"Unifilar 33/66/220/525 kV, transformadores, proteccion",always,DETAILED_ENGINEERING,WOF-001,WOF-CALC-019;WOF-CALC-025,WOF-GEO-001,PLAN,DRAWING_INFO,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1,1:200,C-SCADA|C-COMM,"Title, scale, north arrow, legend",-,WOF-QA-001,AFC stamp required,IEC_61400_21_1;IEEE_1547_2018
WOF-DRW-011,WIND_OFFSHORE,GEN,Plano de subestacion onshore,"Layout S/S onshore con bahias, transformadores, puestas a tierra",always,DETAILED_ENGINEERING,WOF-001,WOF-CALC-025,WOF-GEO-001,PLAN,DRAWING_INFO,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1,1:200,C-SCADA|C-COMM,"Title, scale, north arrow, legend",-,WOF-QA-001,AFC stamp required,IEEE_80_2013;IEEE_1547_2018
WOF-DRW-012,WIND_OFFSHORE,GEN,Diagrama unifilar onshore,Unifilar S/S onshore con PCC y medicion,always,DETAILED_ENGINEERING,WOF-001,WOF-CALC-025,WOF-GEO-001,PLAN,DRAWING_INFO,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1,1:200,C-SCADA|C-COMM,"Title, scale, north arrow, legend",-,WOF-QA-001,AFC stamp required,IEEE_1547_2018;IEEE_519_2022
WOF-DRW-013,WIND_OFFSHORE,GEN,Plano de fondeo (flotante),"Posicion de anclas, lineas, angulos, area swept",always,DETAILED_ENGINEERING,WOF-001,WOF-CALC-012;WOF-CALC-014;WOF-CALC-015;WOF-CALC-016,WOF-GEO-001,PLAN,DRAWING_INFO,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1,1:200,C-SCADA|C-COMM,"Title, scale, north arrow, legend",-,WOF-QA-001,AFC stamp required,DNV_OS_E301;IEC_TS_62600_10;IEC_61400_3_2
WOF-DRW-014,WIND_OFFSHORE,GEN,Trazado de cable dinamico (flotante),"Cable dinamico, configuracion wave, J-tube, hang-off",always,DETAILED_ENGINEERING,WOF-001,WOF-CALC-020;WOF-CALC-021,WOF-GEO-001,PLAN,DRAWING_INFO,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1,1:200,C-SCADA|C-COMM,"Title, scale, north arrow, legend",-,WOF-QA-001,AFC stamp required,DNV_ST_0519;IEC_61400_3_2
WOF-DRW-015,WIND_OFFSHORE,GEN,Arquitectura de control y SCADA,"Topologia SCADA, redes, fibra, racks, AIS, aviacion",always,DETAILED_ENGINEERING,WOF-001,WOF-CALC-028,WOF-GEO-001,PLAN,DRAWING_INFO,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1,1:200,C-SCADA|C-COMM,"Title, scale, north arrow, legend",-,WOF-QA-001,AFC stamp required,IEC_61400_25
WOF-DRW-016,WIND_OFFSHORE,GEN,Mapa de exclusiones ambientales,"Mamiferos, aves, peces, sensibilidad, rutas migratorias",always,PRE_FEASIBILITY,WOF-001,WOF-CALC-027,WOF-GEO-001,PLAN,DRAWING_INFO,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1,1:200,C-SCADA|C-COMM,"Title, scale, north arrow, legend",-,WOF-QA-001,AFC stamp required,ISO_19111
WOF-DRW-017,WIND_OFFSHORE,GEN,Plano as-built,"Posiciones finales, longitudes, profundidades reales",always,AS_BUILT,WOF-001,WOF-CALC-028,WOF-GEO-001,PLAN,DRAWING_INFO,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1,1:200,C-SCADA|C-COMM,"Title, scale, north arrow, legend",-,WOF-QA-001,AFC stamp required,ISO_19111;ISO_19650_2
WOF-DRW-018,WIND_OFFSHORE,GEN,Detalle de proteccion contra socavacion,"Volcado de roca, filtros, mattresses, secciones",always,DETAILED_ENGINEERING,WOF-001,WOF-CALC-023,WOF-GEO-001,PLAN,DRAWING_INFO,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1,1:200,C-SCADA|C-COMM,"Title, scale, north arrow, legend",-,WOF-QA-001,AFC stamp required,DNV_OS_J101;DNV_RP_C205
WOF-DRW-019,WIND_OFFSHORE,GEN,Elevacion del WT y torre,"Torre, buje, rotor, luces aviacion, IP clases",always,BASIC_ENGINEERING,WOF-001,WOF-CALC-005;WOF-CALC-006;WOF-CALC-009,WOF-GEO-001,PLAN,DRAWING_INFO,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1,1:200,C-SCADA|C-COMM,"Title, scale, north arrow, legend",-,WOF-QA-001,AFC stamp required,IEC_61400_3_1;IEC_61400_24
WOF-DRW-020,WIND_OFFSHORE,GEN,Carta de seguridad a la navegacion,"Rutas, exclusiones, ayudas a navegacion, AIS",always,PRE_FEASIBILITY,WOF-001,WOF-CALC-028,WOF-GEO-001,PLAN,DRAWING_INFO,PV_MODULE_SYMBOL;PV_STRING_SYMBOL;PV_INVERTER_SYMBOL;BREAKER_SYMBOL;COMBINER_SYMBOL,A1,1:200,C-SCADA|C-COMM,"Title, scale, north arrow, legend",-,WOF-QA-001,AFC stamp required,IEC_61400_25
