field_id,language,synonyms,abbreviations,expected_units,document_types,section_names,table_header_patterns,regex_candidates,positive_context,negative_context,normalization_rule,plausibility_rule,requires_ocr,requires_vision,requires_llm,human_review_condition
HYD-001,es,project_site_name,,-,topographic_survey|site_report,site general,project_site_name,project_site_name\s*[=:]?\s*([A-Za-z0-9_/-]+),site general,n/a; out of range,keep precision as-is,allowed_values: free text,False,True,True,"check value in [None, None]; cross-check with HYD-C-001;HYD-C-026"
HYD-002,es,site_centroid_lat_deg,,deg,topographic_survey|site_report,site general,site_centroid_lat_deg,site_centroid_lat_deg\s*[=:]?\s*([0-9.+-eE]+),site general,n/a; out of range,keep precision 6,"in [-90, 90]",False,False,True,"check value in [-90, 90]; cross-check with HYD-C-001;HYD-C-026"
HYD-003,es,site_centroid_lon_deg,,deg,topographic_survey|site_report,site general,site_centroid_lon_deg,site_centroid_lon_deg\s*[=:]?\s*([0-9.+-eE]+),site general,n/a; out of range,keep precision 6,"in [-180, 180]",False,False,True,"check value in [-180, 180]; cross-check with HYD-C-001;HYD-C-026"
HYD-004,es,project_boundary_polygon_wkt,,-,topographic_survey|site_report,site general,project_boundary_polygon_wkt,project_boundary_polygon_wkt\s*[=:]?\s*([A-Za-z0-9_/-]+),site general,n/a; out of range,keep precision as-is,allowed_values: WKT POLYGON,False,True,True,"check value in [None, None]; cross-check with HYD-C-001"
HYD-005,es,plant_classification,,-,topographic_survey|site_report,site general,plant_classification,plant_classification\s*[=:]?\s*([A-Za-z0-9_/-]+),site general,n/a; out of range,keep precision as-is,allowed_values: MICRO;MINI;PEQUENA;MEDIA,False,True,True,"check value in [None, None]; cross-check with HYD-C-001;HYD-C-018"
HYD-006,es,nominal_installed_capacity_kW,,kW,topographic_survey|site_report,site general,nominal_installed_capacity_kW,nominal_installed_capacity_kW\s*[=:]?\s*([0-9.+-eE]+),site general,n/a; out of range,keep precision 1,"in [1, 500000]",False,False,True,"check value in [1, 500000]; cross-check with HYD-C-018;HYD-C-026"
HYD-010,es,catchment_area_km2,,km2,hydrological_study|sediment_study,hydrology,catchment_area_km2,catchment_area_km2\s*[=:]?\s*([0-9.+-eE]+),hydrology,n/a; out of range,keep precision 0.01,"in [0.01, 100000]",False,False,True,"check value in [0.01, 100000]; cross-check with HYD-C-001;HYD-C-002;HYD-C-003"
HYD-011,es,mean_annual_rainfall_mm,,mm,hydrological_study|sediment_study,hydrology,mean_annual_rainfall_mm,mean_annual_rainfall_mm\s*[=:]?\s*([0-9.+-eE]+),hydrology,n/a; out of range,keep precision 0.1,"in [0, 10000]",False,False,True,"check value in [0, 10000]; cross-check with HYD-C-001;HYD-C-004"
HYD-012,es,mean_annual_runoff_mm,,mm,hydrological_study|sediment_study,hydrology,mean_annual_runoff_mm,mean_annual_runoff_mm\s*[=:]?\s*([0-9.+-eE]+),hydrology,n/a; out of range,keep precision 0.1,"in [0, 8000]",False,False,True,"check value in [0, 8000]; cross-check with HYD-C-001;HYD-C-004"
HYD-013,es,mean_flow_m3s,,m3/s,hydrological_study|sediment_study,hydrology,mean_flow_m3s,mean_flow_m3s\s*[=:]?\s*([0-9.+-eE]+),hydrology,n/a; out of range,keep precision 0.001,"in [0, 50000]",False,False,True,"check value in [0, 50000]; cross-check with HYD-C-004;HYD-C-005;HYD-C-018"
HYD-014,es,flow_Q50_m3s,,m3/s,hydrological_study|sediment_study,hydrology,flow_Q50_m3s,flow_Q50_m3s\s*[=:]?\s*([0-9.+-eE]+),hydrology,n/a; out of range,keep precision 0.001,"in [0, 50000]",False,False,True,"check value in [0, 50000]; cross-check with HYD-C-005"
HYD-015,es,flow_Q95_m3s,,m3/s,hydrological_study|sediment_study,hydrology,flow_Q95_m3s,flow_Q95_m3s\s*[=:]?\s*([0-9.+-eE]+),hydrology,n/a; out of range,keep precision 0.001,"in [0, 50000]",False,False,True,"check value in [0, 50000]; cross-check with HYD-C-005;HYD-C-006"
HYD-016,es,flow_duration_curve_table,,-,hydrological_study|sediment_study,hydrology,flow_duration_curve_table,flow_duration_curve_table\s*[=:]?\s*([A-Za-z0-9_/-]+),hydrology,n/a; out of range,keep precision as-is,"allowed_values: CSV pares p%,Q",False,True,True,"check value in [None, None]; cross-check with HYD-C-005;HYD-C-006"
