field_id,category,name_es,description,data_type,unit,allowed_values,min_value,max_value,precision,requirement_class,required_from_stage,conditional_expression,prohibited_default,expected_source_document,extraction_hints,used_by_calculation_ids,used_by_drawing_ids,blocking_if_missing,review_role,source_ids
WON-001,wind_measurement,anemometro_altura_m,Altura del anemometro de referencia sobre el nivel del terreno,number,m,,10,150,0.1,PROJECT_MANDATORY,FEASIBILITY,,true,Reporte de campaña de medición eólica,Sección 'Instrumentation' del reporte de medición,WON-CALC-001;WON-CALC-003,WON-DRW-002;WON-DRW-003,true,WIND_RESOURCE_ENGINEER,IEC_61400_12_1;NREL_TP_5000_87434
WON-002,wind_measurement,met_mast_altitud_msnm_m,Altitud del mast de medición sobre el nivel del mar,number,m,,0,5000,1,PROJECT_MANDATORY,FEASIBILITY,,true,Reporte de campaña de medición eólica,Coordenadas UTM + modelo digital de elevación,WON-CALC-035,WON-DRW-002;WON-DRW-003,true,WIND_RESOURCE_ENGINEER,IEC_61400_12_1;ISO_19111
WON-003,wind_measurement,anemometro_data_anios,Número de años completos de registros de viento usados para el ajuste Weibull,number,años,,1,10,0.1,PROJECT_MANDATORY,FEASIBILITY,,true,Reporte de campaña de medición eólica,Tabla de cobertura temporal en reporte,WON-CALC-001;WON-CALC-005,WON-DRW-002;WON-DRW-015,true,WIND_RESOURCE_ENGINEER,IEC_61400_12_1;IEC_61400_15_1
WON-004,wind_measurement,data_recovery_rate_pct,Porcentaje de registros válidos sobre el total teórico medido,number,%,,90,100,0.1,PROJECT_MANDATORY,FEASIBILITY,,true,Reporte de campaña de medición eólica,Tabla de availability del mast,WON-CALC-005;WON-CALC-013,WON-DRW-002;WON-DRW-015,true,WIND_RESOURCE_ENGINEER,IEC_61400_12_1
WON-005,wind_measurement,medicion_incertidumbre_pct,Incertidumbre combinada expandida (k=2) de la medición de velocidad de viento,number,%,,0.5,15,0.1,PROJECT_MANDATORY,FEASIBILITY,,true,Reporte de incertidumbre P50/P90,Sección Uncertainty del reporte,WON-CALC-005;WON-CALC-007,WON-DRW-002;WON-DRW-015,true,WIND_RESOURCE_ENGINEER,IEC_61400_15_1;NREL_TK_6A20_78595
WON-006,wind_measurement,instrumento_tipo,Tipo de instrumento de medición de viento usado,string,-,cup;sonic;lidar;sodar,,,,PROJECT_MANDATORY,FEASIBILITY,,true,Reporte de campaña de medición eólica,Lista de instrumentos del mast,WON-CALC-001,WON-DRW-002,true,WIND_RESOURCE_ENGINEER,IEC_61400_12_1
WON-007,wind_measurement,met_mast_distancia_turbina_d,Distancia del met mast al centro del rotor de la turbina más cercana en diámetros,number,D,,2,20,0.1,PROJECT_MANDATORY,FEASIBILITY,,true,Reporte de campaña de medición eólica,Plano de implantación con distancias,WON-CALC-001,WON-DRW-002;WON-DRW-003,true,WIND_RESOURCE_ENGINEER,IEC_61400_12_1;IEC_61400_15_1
WON-010,wind_statistics,v_media_anual_ms,Velocidad media anual del viento a altura de buje,number,m/s,,3,12,0.01,PROJECT_MANDATORY,FEASIBILITY,,true,Reporte de recurso eólico,Tabla de estadísticas a altura de buje,WON-CALC-001;WON-CALC-005,WON-DRW-002;WON-DRW-015,true,WIND_RESOURCE_ENGINEER,IEC_61400_12_1;NREL_TP_5000_87434
WON-011,wind_statistics,weibull_k_dimensionless,Parámetro de forma k de la distribución Weibull a altura de buje,number,-,,1.0,3.5,0.01,PROJECT_MANDATORY,FEASIBILITY,,true,Reporte de recurso eólico,Tabla Weibull por sector,WON-CALC-001;WON-CALC-005,WON-DRW-002;WON-DRW-015,true,WIND_RESOURCE_ENGINEER,IEC_61400_12_1;NREL_TP_5000_87434
WON-012,wind_statistics,weibull_c_scale_ms,Parámetro de escala c de Weibull a altura de buje,number,m/s,,4,14,0.01,PROJECT_MANDATORY,FEASIBILITY,,true,Reporte de recurso eólico,Tabla Weibull por sector,WON-CALC-001;WON-CALC-005,WON-DRW-002;WON-DRW-015,true,WIND_RESOURCE_ENGINEER,IEC_61400_12_1;NREL_TP_5000_87434
WON-013,wind_statistics,turbulence_intensity_pct,Intensidad de turbulencia a 15 m/s a altura de buje (categoría A/B/C IEC),number,%,,5,25,0.1,PROJECT_MANDATORY,FEASIBILITY,,true,Reporte de turbulencia,Tabla TI por bin de viento,WON-CALC-004;WON-CALC-022,WON-DRW-002;WON-DRW-015,true,WIND_RESOURCE_ENGINEER,IEC_61400_1;IEC_61400_13
WON-014,wind_statistics,wind_shear_alpha,Exponente alpha de la ley de potencia para extrapolación vertical de viento,number,-,,0.05,0.40,0.001,PROJECT_MANDATORY,FEASIBILITY,,true,Reporte de recurso eólico,Tabla de shear por sector y hora,WON-CALC-003,WON-DRW-002;WON-DRW-015,true,WIND_RESOURCE_ENGINEER,IEC_61400_12_1;IEC_61400_15_1
WON-015,wind_statistics,wind_dir_freq_12sectores_pct,Frecuencia de dirección del viento en 12 sectores de 30 grados,array[number],%,12 valores,0,100,0.1,PROJECT_MANDATORY,FEASIBILITY,,true,Reporte de recurso eólico,Rosa de vientos 12 sectores,WON-CALC-033;WON-CALC-005,WON-DRW-002;WON-DRW-003,true,WIND_RESOURCE_ENGINEER,IEC_61400_12_1
WON-016,wind_statistics,v_extrema_50yr_ms,Velocidad de viento extrema con período de retorno de 50 años a altura de buje,number,m/s,,30,70,0.1,PROJECT_MANDATORY,FEASIBILITY,,true,Reporte de cargas extremas IEC,Tabla Gumbel extreme wind,WON-CALC-021;WON-CALC-034,WON-DRW-002;WON-DRW-006,true,WIND_RESOURCE_ENGINEER,IEC_61400_1;DNV_RP_C205
WON-017,wind_statistics,densidad_aire_kg_m3,Densidad media del aire a altura de buje del sitio,number,kg/m3,,0.9,1.35,0.001,PROJECT_MANDATORY,FEASIBILITY,,true,Reporte de recurso eólico,Cálculo con elevación y temperatura,WON-CALC-005,WON-DRW-002,true,WIND_RESOURCE_ENGINEER,IEC_61400_12_1;NREL_TP_5000_87434
