field_id,language,synonyms,abbreviations,expected_units,document_types,section_names,table_header_patterns,regex_candidates,positive_context,negative_context,normalization_rule,plausibility_rule,requires_ocr,requires_vision,requires_llm,human_review_condition
WON-001,es;en,anemometro altura m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,anemometro_altura_m,regex:([0-9]+\.?[0-9]*)\s*m,anemometro_altura_m;Sección 'Instrumentation' del reporte de medición,not applicable;assumed;estimated,value in valid range,value between 10 and 150,false,false,false,review if outlier
WON-002,es;en,met mast altitud msnm m,,m,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,met_mast_altitud_msnm_m,regex:([0-9]+\.?[0-9]*)\s*m,met_mast_altitud_msnm_m;Coordenadas UTM + modelo digital de elevación,not applicable;assumed;estimated,value in valid range,value between 0 and 5000,false,false,false,review if outlier
WON-003,es;en,anemometro data anios,,años,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,anemometro_data_anios,regex:([0-9]+\.?[0-9]*)\s*años,anemometro_data_anios;Tabla de cobertura temporal en reporte,not applicable;assumed;estimated,value in valid range,value between 1 and 10,false,false,false,review if outlier
WON-004,es;en,data recovery rate pct,,%,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,data_recovery_rate_pct,regex:([0-9]+\.?[0-9]*)\s*%,data_recovery_rate_pct;Tabla de availability del mast,not applicable;assumed;estimated,value in valid range,value between 90 and 100,false,false,false,review if outlier
WON-005,es;en,medicion incertidumbre pct,,%,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,medicion_incertidumbre_pct,regex:([0-9]+\.?[0-9]*)\s*%,medicion_incertidumbre_pct;Sección Uncertainty del reporte,not applicable;assumed;estimated,value in valid range,value between 0.5 and 15,false,false,false,review if outlier
WON-006,es;en,instrumento tipo,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,instrumento_tipo,,instrumento_tipo;Lista de instrumentos del mast,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WON-007,es;en,met mast distancia turbina d,,D,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,met_mast_distancia_turbina_d,regex:([0-9]+\.?[0-9]*)\s*D,met_mast_distancia_turbina_d;Plano de implantación con distancias,not applicable;assumed;estimated,value in valid range,value between 2 and 20,false,false,false,review if outlier
WON-010,es;en,v media anual ms,,m/s,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,v_media_anual_ms,regex:([0-9]+\.?[0-9]*)\s*m/s,v_media_anual_ms;Tabla de estadísticas a altura de buje,not applicable;assumed;estimated,value in valid range,value between 3 and 12,false,false,false,review if outlier
WON-011,es;en,weibull k dimensionless,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,weibull_k_dimensionless,,weibull_k_dimensionless;Tabla Weibull por sector,not applicable;assumed;estimated,value in valid range,value between 1.0 and 3.5,false,false,false,review if outlier
WON-012,es;en,weibull c scale ms,,m/s,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,weibull_c_scale_ms,regex:([0-9]+\.?[0-9]*)\s*m/s,weibull_c_scale_ms;Tabla Weibull por sector,not applicable;assumed;estimated,value in valid range,value between 4 and 14,false,false,false,review if outlier
WON-013,es;en,turbulence intensity pct,,%,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,turbulence_intensity_pct,regex:([0-9]+\.?[0-9]*)\s*%,turbulence_intensity_pct;Tabla TI por bin de viento,not applicable;assumed;estimated,value in valid range,value between 5 and 25,false,false,false,review if outlier
WON-014,es;en,wind shear alpha,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,wind_shear_alpha,,wind_shear_alpha;Tabla de shear por sector y hora,not applicable;assumed;estimated,value in valid range,value between 0.05 and 0.40,false,false,false,review if outlier
WON-015,es;en,wind dir freq 12sectores pct,,%,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,wind_dir_freq_12sectores_pct,regex:([0-9]+\.?[0-9]*)\s*%,wind_dir_freq_12sectores_pct;Rosa de vientos 12 sectores,not applicable;assumed;estimated,value in valid range,value between 0 and 100,false,false,false,review if outlier
WON-016,es;en,v extrema 50yr ms,,m/s,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,v_extrema_50yr_ms,regex:([0-9]+\.?[0-9]*)\s*m/s,v_extrema_50yr_ms;Tabla Gumbel extreme wind,not applicable;assumed;estimated,value in valid range,value between 30 and 70,false,false,false,review if outlier
WON-017,es;en,densidad aire kg m3,,kg/m3,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,densidad_aire_kg_m3,regex:([0-9]+\.?[0-9]*)\s*kg/m3,densidad_aire_kg_m3;Cálculo con elevación y temperatura,not applicable;assumed;estimated,value in valid range,value between 0.9 and 1.35,false,false,false,review if outlier
WON-020,es;en,iec turbine class,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,iec_turbine_class,,iec_turbine_class;Tabla 'IEC class' del datasheet,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WON-021,es;en,iec site class match,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,iec_site_class_match,,iec_site_class_match;Comparar IEC class contra v_extrema y TI,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
WON-030,es;en,temp min extrema C,,°C,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,temp_min_extrema_C,regex:([0-9]+\.?[0-9]*)\s*°C,temp_min_extrema_C;Estadísticas meteorológicas,not applicable;assumed;estimated,value in valid range,value between -40 and 10,false,false,false,review if outlier
WON-031,es;en,temp max extrema C,,°C,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,temp_max_extrema_C,regex:([0-9]+\.?[0-9]*)\s*°C,temp_max_extrema_C;Estadísticas meteorológicas,not applicable;assumed;estimated,value in valid range,value between 20 and 55,false,false,false,review if outlier
WON-032,es;en,humedad relativa pct,,%,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,humedad_relativa_pct,regex:([0-9]+\.?[0-9]*)\s*%,humedad_relativa_pct;Estadísticas meteorológicas,not applicable;assumed;estimated,value in valid range,value between 10 and 100,false,false,false,review if outlier
WON-033,es;en,salinidad ambiente,,,datasheet;report;specification;drawing,Properties;Specifications;Datasheet,salinidad_ambiente,,salinidad_ambiente;Caracterización atmosférica,not applicable;assumed;estimated,value in valid range,range plausibility,false,false,false,review if outlier
