drawing_id,technology,discipline,title_es,purpose,applicability_expression,minimum_project_stage,required_field_ids,required_calculation_ids,required_geometry_rule_ids,required_views,required_tables,required_symbol_ids,preferred_sheet_formats,preferred_scales,required_layers,mandatory_annotations,cross_references,qa_rule_ids,release_blockers,source_ids
MAR-DRW-001,11_marine,CIVIL,Batimetría del sitio,"Mapa batimétrico con isobatas, mareas, corrientes y direcciones de olas",always,FEASIBILITY,MAR-001;MAR-002;MAR-006;MAR-007;MAR-008;MAR-011;MAR-018;MAR-022;MAR-024;MAR-030,MAR-C-001;MAR-C-024;MAR-C-026,MAR-GR-012,"['BATHYMETRY_CONTOURS','TIDAL_LEVELS','CURRENT_VECTORS','WAVE_ROSE','NORTH_ARROW']","['WATER_DEPTH_TABLE','TIDAL_RANGE_TABLE','CURRENT_SPEED_TABLE']",SYM-COM-NORTH;SYM-COM-SCALEBAR;SYM-MAR-DEPTH;SYM-MAR-CURRENT,A1,1:25000,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;MAR-CIV-BATHY,WATER_DEPTH_LAT;Hs_50yr;TIDAL_RANGE;CURRENT_SPEED,MAR-DRW-002,MAR-QA-001;MAR-QA-002;MAR-QA-003;MAR-QA-030,"['BATHYMETRY_GEOREF','METOCEAN_DATA_PRESENT']",DNV_RP_C205;IEC_TS_62600_2;NASA_POWER;ISO_19111
MAR-DRW-002,11_marine,CIVIL,Implantación del sitio,"Planta de implantación general con dispositivos, cables, subestación y exclusiones",always,FEASIBILITY,MAR-001;MAR-002;MAR-003;MAR-005;MAR-034;MAR-036;MAR-091;MAR-102;MAR-103;MAR-104;MAR-106;MAR-109,MAR-C-025;MAR-C-028,MAR-GR-001;MAR-GR-002;MAR-GR-007;MAR-GR-010,"['SITE_PLAN','DEVICE_ARRAY','CABLE_ROUTES','SUBSTATION','EXCLUSION_ZONES','NORTH_ARROW']","['COORDINATE_TABLE','DEVICE_COUNT_TABLE','EXCLUSION_RADIUS_TABLE']",SYM-COM-NORTH;SYM-COM-SCALEBAR;SYM-MAR-DEVICE;SYM-MAR-SUBSTATION;SYM-MAR-EXCLUSION,A0,1:10000,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;MAR-CIV-SITE,LAT_LON;DEVICE_COUNT;EXCLUSION_RADIUS;SUBSTATION_TYPE,MAR-DRW-001;MAR-DRW-003;MAR-DRW-015,MAR-QA-004;MAR-QA-005;MAR-QA-031,"['SITE_GEOREF','EXCLUSION_DEFINED']",ISO_5457;ISO_7200;ISO_19111;MINAM_DS_019_2009
MAR-DRW-003,11_marine,CIVIL,Planta de dispositivos,Planta detallada del array de dispositivos con separaciones y orientaciones,always,BASIC_ENGINEERING,MAR-006;MAR-018;MAR-022;MAR-034;MAR-036;MAR-037;MAR-039;MAR-044;MAR-047;MAR-086,MAR-C-022;MAR-C-025;MAR-C-026,MAR-GR-001;MAR-GR-002;MAR-GR-022,"['DEVICE_PLAN','SPACING_DIMENSIONS','ORIENTATION','MOORING_OUTLINE','FOUNDATION_OUTLINE']","['DEVICE_SPACING_TABLE','ORIENTATION_TABLE']",SYM-COM-NORTH;SYM-COM-SCALEBAR;SYM-MAR-DEVICE;SYM-MAR-MOORING;SYM-MAR-FOUNDATION,A1,1:1000,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;MAR-CIV-DEVICE,DEVICE_SPACING;ROTOR_DIAMETER;WAVE_DIRECTION;CURRENT_DIRECTION,MAR-DRW-002;MAR-DRW-011;MAR-DRW-008,MAR-QA-006;MAR-QA-007;MAR-QA-032,"['SPACING_GE_7D','DEVICE_TYPE_LABELED']",IEC_TS_62600_2;DNV_OS_C101;DNV_RP_C205;ISO_5457
MAR-DRW-004,11_marine,ELECTRICAL,Planta de cables inter-array,Ruteo de cables inter-array con topología string y longitudes,device_count_total > 1,BASIC_ENGINEERING,MAR-034;MAR-036;MAR-075;MAR-077;MAR-078;MAR-079;MAR-080,MAR-C-016,MAR-GR-004,"['INTER_ARRAY_PLAN','STRING_TOPOLOGY','CABLE_LENGTH_DIMENSIONS','JUNCTION_BOXES']","['CABLE_LENGTH_TABLE','STRING_TOPOLOGY_TABLE','VOLTAGE_TABLE']",SYM-COM-NORTH;SYM-COM-SCALEBAR;SYM-MAR-CABLE;SYM-MAR-JUNCTION,A1,1:2000,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;MAR-ELEC-CABLE,INTER_ARRAY_VOLTAGE;CABLE_LENGTH;CABLE_SECTION,MAR-DRW-003;MAR-DRW-005,MAR-QA-008;MAR-QA-009;MAR-QA-033,"['CABLE_LENGTH_COMPLETE','TOPOLOGY_DEFINED']",IEC_60287_1_1;DNV_OS_J101;IEC_TS_62600_30;ISO_5457
MAR-DRW-005,11_marine,ELECTRICAL,Planta de cable de exportación,Ruteo de cable de exportación con profundidades y burial,device_count_total > 0,BASIC_ENGINEERING,MAR-005;MAR-006;MAR-076;MAR-078;MAR-079;MAR-081;MAR-082;MAR-083;MAR-102;MAR-103,MAR-C-013;MAR-C-016,MAR-GR-005;MAR-GR-019,"['EXPORT_CABLE_PLAN','ROUTE_PROFILE','BURIAL_DEPTH','ANCHORAGE_ZONES']","['CABLE_LENGTH_TABLE','BURIAL_DEPTH_TABLE','ROUTE_WAYPOINT_TABLE']",SYM-COM-NORTH;SYM-COM-SCALEBAR;SYM-MAR-CABLE;SYM-MAR-BURIAL,A1,1:10000,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;MAR-ELEC-EXPORT,EXPORT_VOLTAGE;CABLE_LENGTH;BURIAL_DEPTH,MAR-DRW-004;MAR-DRW-006;MAR-DRW-002,MAR-QA-010;MAR-QA-011;MAR-QA-034,"['CABLE_ROUTE_DEFINED','BURIAL_DEPTH_LABELED']",DNV_OS_J101;IEC_60287_1_1;MINEM_DS_032_2003;ISO_5457
MAR-DRW-006,11_marine,CIVIL,Sección de landfall,Sección transversal del landfall con HDD o trenching y transición,device_count_total > 0,BASIC_ENGINEERING,MAR-005;MAR-007;MAR-008;MAR-081;MAR-082;MAR-083,MAR-C-013,MAR-GR-006;MAR-GR-013,"['LANDFALL_SECTION','HDD_PROFILE','TRENCH_SECTION','JOINT_BAY_DETAIL']","['ELEVATIONS_TABLE','BURIAL_DEPTH_TABLE']",SYM-COM-NORTH;SYM-COM-SCALEBAR;SYM-MAR-CABLE;SYM-MAR-HDD,A2,1:500,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;MAR-CIV-LANDFALL,HDD_DEPTH;BURIAL_DEPTH;JOINT_BAY_LOCATION,MAR-DRW-005,MAR-QA-012;MAR-QA-035,"['HDD_DEPTH_GE_5M','BURIAL_DEPTH_GE_1M']",DNV_OS_J101;MINEM_DS_032_2003;RNE_DS_011_2006;ISO_5457
MAR-DRW-007,11_marine,CIVIL,Planta de fundaciones,Planta de fundaciones con penetration y scour protection,"device_type contains [tidal_stream_turbine,current_turbine]",BASIC_ENGINEERING,MAR-006;MAR-008;MAR-009;MAR-034;MAR-039;MAR-086;MAR-087;MAR-088;MAR-089;MAR-090,MAR-C-014,MAR-GR-018;MAR-GR-022,"['FOUNDATION_PLAN','PENETRATION_PROFILE','SCOUR_PROTECTION','BEARING_AREA']","['FOUNDATION_DIMENSIONS_TABLE','BEARING_CAPACITY_TABLE']",SYM-COM-NORTH;SYM-COM-SCALEBAR;SYM-MAR-FOUNDATION;SYM-MAR-SCOUR,A2,1:200,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;MAR-CIV-FOUNDATION,FOUNDATION_TYPE;PENETRATION;BEARING_CAPACITY;SCOUR_PROTECTION,MAR-DRW-008,MAR-QA-013;MAR-QA-014;MAR-QA-036,"['BEARING_CAPACITY_GE_DESIGN_LOAD','SCOUR_PROTECTION_DEFINED']",DNV_OS_J101;DNV_OS_C101;ISO_14656;ISO_5457
MAR-DRW-008,11_marine,CIVIL,Sección de fundaciones,Sección transversal de fundaciones con geotecnia y cargas,"device_type contains [tidal_stream_turbine,current_turbine,WEC]",BASIC_ENGINEERING,MAR-006;MAR-009;MAR-010;MAR-031;MAR-032;MAR-039;MAR-086;MAR-087;MAR-088;MAR-089;MAR-115,MAR-C-003;MAR-C-004;MAR-C-014,MAR-GR-018;MAR-GR-022,"['FOUNDATION_SECTION','SOIL_PROFILE','SCOUR_DEPTH','STRESS_PROFILE','MARINE_GROWTH']","['ELEVATIONS_TABLE','SOIL_PARAMETER_TABLE','LOAD_TABLE']",SYM-COM-NORTH;SYM-COM-SCALEBAR;SYM-MAR-FOUNDATION;SYM-MAR-SOIL;SYM-MAR-GROWTH,A2,1:200,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;MAR-CIV-FOUNDATION,WATER_DEPTH;SOIL_TYPE;PENETRATION;SCOUR_DEPTH;MARINE_GROWTH,MAR-DRW-007;MAR-DRW-011,MAR-QA-015;MAR-QA-016;MAR-QA-037,"['PENETRATION_GE_DESIGN','SCOUR_DEPTH_LABELED']",DNV_OS_J101;DNV_OS_C101;DNV_RP_C205;ISO_5457
MAR-DRW-009,11_marine,ELECTRICAL,Planta de subestación de costa,"Planta de subestación de costa con transformadores, switchgear y malla",device_count_total > 0,BASIC_ENGINEERING,MAR-005;MAR-091;MAR-092;MAR-093;MAR-094;MAR-095;MAR-104;MAR-106,MAR-C-028,MAR-GR-007,"['SUBSTATION_PLAN','TRANSFORMER_LAYOUT','SWITCHGEAR_LAYOUT','GROUNDING_GRID','OIL_CONTAINMENT']","['EQUIPMENT_LIST','GROUNDING_RESISTANCE_TABLE','CAPACITY_TABLE']",SYM-COM-NORTH;SYM-COM-SCALEBAR;SYM-MAR-TRANSFORMER;SYM-MAR-SWITCHGEAR;SYM-MAR-GROUNDING,A2,1:200,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;MAR-ELEC-SUBSTATION,SUBSTATION_TYPE;TRANSFORMER_MVA;GROUNDING_RESISTANCE;REACTIVE_COMPENSATION,MAR-DRW-010;MAR-DRW-002,MAR-QA-017;MAR-QA-018;MAR-QA-038,"['GROUNDING_LE_5_OHM','OIL_CONTAINMENT_PRESENT']",IEEE_80_2013;IEEE_1547_2018;NFPA_70_2023;ISO_5457
MAR-DRW-010,11_marine,ELECTRICAL,SLD de subestación,Diagrama unilineal de subestación de costa con protecciones y medida,device_count_total > 0,DETAILED_ENGINEERING,MAR-035;MAR-036;MAR-075;MAR-076;MAR-091;MAR-092;MAR-093;MAR-094,MAR-C-028,MAR-GR-007,"['SLD_SINGLE_LINE','PROTECTION_SCHEME','METERING','REACTIVE_COMPENSATION']","['PROTECTION_TABLE','METERING_TABLE','CAPACITY_TABLE']",SYM-ELEC-BREAKER;SYM-ELEC-TRANSFORMER;SYM-ELEC-RELAY;SYM-ELEC-CT;SYM-ELEC-PT,A2,1:1,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;MAR-ELEC-SLD,INTER_ARRAY_VOLTAGE;EXPORT_VOLTAGE;TRANSFORMER_MVA;PROTECTION_ANSI,MAR-DRW-009;MAR-DRW-013,MAR-QA-019;MAR-QA-020;MAR-QA-039,"['SLD_COMPLETE','PROTECTIONS_LABELED']",IEEE_1547_2018;IEEE_519_2022;CNE_2011;IEC_61511_1
MAR-DRW-011,11_marine,CIVIL,Planta de fondeo (mooring plan),"Planta del sistema de fondeo con líneas, anclas y SF","device_type contains [WEC,OTEC] OR mooring_type != none",BASIC_ENGINEERING,MAR-006;MAR-063;MAR-064;MAR-065;MAR-066;MAR-067;MAR-069;MAR-070;MAR-071;MAR-072;MAR-073;MAR-074,MAR-C-006;MAR-C-007;MAR-C-008;MAR-C-009;MAR-C-010,MAR-GR-008;MAR-GR-009,"['MOORING_PLAN','LINE_TENSIONS','ANCHOR_POSITIONS','SF_TABLE']","['LINE_PARAMETER_TABLE','ANCHOR_CAPACITY_TABLE','SF_TABLE']",SYM-COM-NORTH;SYM-COM-SCALEBAR;SYM-MAR-MOORING;SYM-MAR-ANCHOR,A2,1:500,GEN-ALL-BORDER;GEN-ALL-TITLEBLOCK;MAR-CIV-MOORING,MOORING_TYPE;ANCHOR_TYPE;LINE_MBL;SF;LINE_DIAMETER,MAR-DRW-003;MAR-DRW-008,MAR-QA-021;MAR-QA-022;MAR-QA-040,"['SF_GE_1.5','LINE_MBL_LABELED']",DNV_OS_E301;DNV_OS_C101;IEC_TS_62600_10;ISO_5457
