field_id,category,name_es,description,data_type,unit,allowed_values,min_value,max_value,precision,requirement_class,required_from_stage,conditional_expression,prohibited_default,expected_source_document,extraction_hints,used_by_calculation_ids,used_by_drawing_ids,blocking_if_missing,review_role,source_ids
PVG-001,site,latitude_deg,Latitud geodésica del centro del sitio en grados decimales,float,deg,"[-90,90]",-90,90,6,PROJECT_MANDATORY,FEASIBILITY,true,true,Coordenadas del título de propiedad o GPS topográfico,Especificar con 6 decimales;WGS84,PVG-C-001;PVG-C-029,PVG-DRW-001;PVG-DRW-002,true,LEAD_ENGINEER_CIVIL,NSRDB_NREL;ISO_19111
PVG-002,site,longitude_deg,Longitud geodésica del centro del sitio en grados decimales,float,deg,"[-180,180]",-180,180,6,PROJECT_MANDATORY,FEASIBILITY,true,true,Coordenadas del título de propiedad o GPS topográfico,Especificar con 6 decimales;WGS84,PVG-C-001;PVG-C-029,PVG-DRW-001;PVG-DRW-002,true,LEAD_ENGINEER_CIVIL,NSRDB_NREL;ISO_19111
PVG-003,site,elevation_masl,Elevación media del sitio sobre el nivel del mar,float,m,"[0,6000]",0,6000,1,PROJECT_MANDATORY,FEASIBILITY,true,true,Estudio topográfico o carta nacional,Dato de altitud;topografía,PVG-C-004;PVG-C-019,PVG-DRW-001;PVG-DRW-002,true,LEAD_ENGINEER_CIVIL,NSRDB_NREL;NASA_POWER
PVG-004,site,timezone_utc_offset,Desfase horario oficial del sitio respecto a UTC,float,h,"[-12,14]",-12,14,1,PROJECT_MANDATORY,FEASIBILITY,true,true,Ubicación geopolítica del sitio,Usar UTC-5 para Perú continental,PVG-C-001;PVG-C-023,PVG-DRW-001;PVG-DRW-015,true,PROJECT_MANAGER,ISO_19111;COES_NCO_2019
PVG-005,site,site_area_m2,Área neta útil del sitio delimitada por cerca perimetral,float,m2,"[1000,100000000]",1000,100000000,1,PROJECT_MANDATORY,FEASIBILITY,true,true,Plano de propiedad o catastro,Restar zone de exclusión; restar caminos internos,PVG-C-023,PVG-DRW-001;PVG-DRW-004,true,LEAD_ENGINEER_CIVIL,ISO_19111;MINAM_DS_019_2009
PVG-006,site,terrain_slope_pct,Pendiente media del terreno en dirección predominante,float,%,"[0,30]",0,30,1,CONDITIONAL,FEASIBILITY,true,false,Estudio topográfico,Si slope>5% requiere seguimiento topográfico,PVG-C-028,PVG-DRW-001;PVG-DRW-009,false,LEAD_ENGINEER_CIVIL,ISO_19111
PVG-007,site,soil_bearing_capacity_kpa,Capacidad de carga admisible del suelo a profundidad de cimentación,float,kPa,"[50,1000]",50,1000,1,PROJECT_MANDATORY,BASIC_ENGINEERING,true,true,Estudio geotécnico,Mecánica de suelos;ensayo SPT o CPT,PVG-C-028,PVG-DRW-009,true,LEAD_ENGINEER_CIVIL,ASME_B31_1_2022;IEEE_80_2013
PVG-008,site,corrosion_aggressiveness_class,Clase de agresividad del suelo al acero enterrado,enum,-,C1_LOW|M3_MEDIUM|C3_HIGH|C4_VERY_HIGH|C5_EXTREME,,,,PROJECT_MANDATORY,BASIC_ENGINEERING,true,true,Estudio geotécnico y de resistividad,Tabla ISO 9223 o NACE,PVG-C-023,PVG-DRW-009;PVG-DRW-010,true,LEAD_ENGINEER_CIVIL,IEC_62548;IEEE_80_2013
PVG-009,site,fence_offset_m,Distancia desde el límite de propiedad hasta la cerca perimetral,float,m,"[0,20]",0,20,0.1,PROJECT_MANDATORY,BASIC_ENGINEERING,true,true,Plano de propiedad y plano de ubicación,Distancia a lindero,PVG-C-023,PVG-DRW-001;PVG-DRW-002,true,LEAD_ENGINEER_CIVIL,MINAM_DS_019_2009;COES_Proyectos_Conexion
PVG-010,site,internal_road_width_m,Ancho de vía interna para O&M,float,m,"[3.5,8]",3.5,8,0.1,PROJECT_MANDATORY,BASIC_ENGINEERING,true,true,Memoria de accesos,Vehículo minisub o camión grúa,PVG-C-023,PVG-DRW-001;PVG-DRW-002,true,LEAD_ENGINEER_CIVIL,NFPA_70_2023;IEEE_C2_2023
